FEN:ID,Function Code,composition count before accumulation,composition count after accumulation
"0x2fc53e1a21da0a3047fc7244f04f10c796543c75/HumanStandardToken.sol:StandardToken:transferFrom(address,address,uint256)","    function transferFrom(address _from, address _to, uint256 _value) returns (bool success) {
        //same as above. Replace this line with the following if you want to protect against wrapping uints.
        //if (balances[_from] >= _value && allowed[_from][msg.sender] >= _value && balances[_to] + _value > balances[_to]) {
        if (balances[_from] >= _value && allowed[_from][msg.sender] >= _value && _value > 0) {
            balances[_to] += _value;
            balances[_from] -= _value;
            allowed[_from][msg.sender] -= _value;
            Transfer(_from, _to, _value);
            return true;
        } else { return false; }
    }
",0,7
0x2fc53e1a21da0a3047fc7244f04f10c796543c75/HumanStandardToken.sol:StandardToken:balanceOf(address),"    function balanceOf(address _owner) constant returns (uint256 balance) {
        return balances[_owner];
    }
",0,226
"0x2fc53e1a21da0a3047fc7244f04f10c796543c75/HumanStandardToken.sol:StandardToken:approve(address,uint256)","    function approve(address _spender, uint256 _value) returns (bool success) {
        allowed[msg.sender][_spender] = _value;
        Approval(msg.sender, _spender, _value);
        return true;
    }
",0,316
"0x2fc53e1a21da0a3047fc7244f04f10c796543c75/HumanStandardToken.sol:StandardToken:allowance(address,address)","    function allowance(address _owner, address _spender) constant returns (uint256 remaining) {
      return allowed[_owner][_spender];
    }
",0,14
"0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:SafeMath:add(uint256,uint256)","    function add(uint a, uint b) internal pure returns (uint c) {
        c = a + b;
        require(c >= a);
    }
",3,732
"0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:SafeMath:sub(uint256,uint256)","    function sub(uint a, uint b) internal pure returns (uint c) {
        require(b <= a);
        c = a - b;
    }
",4,477
"0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:SafeMath:mul(uint256,uint256)","    function mul(uint a, uint b) internal pure returns (uint c) {
        c = a * b;
        require(a == 0 || c / a == b);
    }
",0,110
"0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:SafeMath:div(uint256,uint256)","    function div(uint a, uint b) internal pure returns (uint c) {
        require(b > 0);
        c = a / b;
    }
",0,18
0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:Owned:constructor(),"    constructor() public {
        owner = msg.sender;
    }
",0,6
0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:Owned:onlyOwner(),"    modifier onlyOwner {
        require(msg.sender == owner);
        _;
    }
",2,8910
0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:Owned:transferOwnership(address),"    function transferOwnership(address _newOwner) public onlyOwner {
        newOwner = _newOwner;
    }
",0,5
"0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:AOT:transfer(address,uint256)","    function transfer(address to, uint tokens) public returns (bool success) {

        // active first
        initialize(msg.sender);

        require(tokens <= balances[msg.sender]);
        require(to != address(0));

        // initialize(to);

        balances[msg.sender] = balances[msg.sender].sub(tokens);
        balances[to] = balances[to].add(tokens);
        emit Transfer(msg.sender, to, tokens);
        return true;

    }
",0,1
"0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:AOT:approve(address,uint256)","    function approve(address spender, uint tokens) public returns (bool success) {
        allowed[msg.sender][spender] = tokens;
        emit Approval(msg.sender, spender, tokens);
        return true;
    }
",0,1
"0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:AOT:transferFrom(address,address,uint256)","    function transferFrom(address from, address to, uint tokens) public returns (bool success) {
        // active
        initialize(from);

        require(tokens <= balances[from]);
        require(tokens <= allowed[from][msg.sender]);
        require(to != address(0));

        // initialize(to);

        balances[from] = balances[from].sub(tokens);
        balances[to] = balances[to].add(tokens);
        allowed[from][msg.sender] = allowed[from][msg.sender].sub(tokens);
        emit Transfer(from, to, tokens);
        return true;
    }
",0,227
0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:AOT:getBalance(address),"    function getBalance(address _address) internal returns (uint256) {
        if (_airdropTotal < _airdropSupply && !initialized[_address]) {
            return balances[_address] + _airdropAmount;
        } else {
            return balances[_address];
        }
    }
",1,8
0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:AOT:initialize(address),"    function initialize(address _address) internal returns (bool success) {
        if (_airdropTotal <= _airdropSupply && !initialized[_address]) {
            initialized[_address] = true;
            balances[_address] = _airdropAmount;
            _airdropTotal = _airdropTotal.add(_airdropAmount);
        }
        return true;
    }
",2,4
"0x3fcb0335a909da48398a9d2e7608805658cf6eae/lockEtherPay.sol:SafeMath:mul(uint256,uint256)","  function mul(uint256 a, uint256 b) internal pure returns (uint256) {
    uint256 c = a * b;
    assert(a == 0 || c / a == b);
    return c;
  }
",0,924
"0x3fcb0335a909da48398a9d2e7608805658cf6eae/lockEtherPay.sol:SafeMath:div(uint256,uint256)","  function div(uint256 a, uint256 b) internal pure returns (uint256) {
    // assert(b > 0); // Solidity automatically throws when dividing by 0
    uint256 c = a / b;
    // assert(a == b * c + a % b); // There is no case in which this doesn't hold
    return c;
  }
",0,624
"0x3fcb0335a909da48398a9d2e7608805658cf6eae/lockEtherPay.sol:SafeMath:sub(uint256,uint256)","  function sub(uint256 a, uint256 b) internal pure returns (uint256) {
    assert(b <= a);
    return a - b;
  }
",0,5487
"0x3fcb0335a909da48398a9d2e7608805658cf6eae/lockEtherPay.sol:SafeMath:add(uint256,uint256)","  function add(uint256 a, uint256 b) internal pure returns (uint256) {
    uint256 c = a + b;
    assert(c >= a);
    return c;
  }
",1,5961
0x3fcb0335a909da48398a9d2e7608805658cf6eae/lockEtherPay.sol:Ownable:constructor(),"  constructor() public{
    owner = msg.sender;
  }
",0,6
0x3fcb0335a909da48398a9d2e7608805658cf6eae/lockEtherPay.sol:Ownable:onlyOwner(),"  modifier onlyOwner() {
    require(msg.sender == owner);
    _;
  }
",3,8910
0x3fcb0335a909da48398a9d2e7608805658cf6eae/lockEtherPay.sol:Ownable:transferOwnership(address),"  function transferOwnership(address newOwner) onlyOwner public {
    require(newOwner != address(0));
    emit OwnershipTransferred(owner, newOwner);
    owner = newOwner;
  }
",0,65
0x3fcb0335a909da48398a9d2e7608805658cf6eae/lockEtherPay.sol:lockEtherPay:lockOver(),"  function lockOver() constant public returns (bool){
  	uint256 current_time = now;
	return current_time > end_time;
  }
",1,4
0x5d034d0d0d98fb76192ef2ef27e197fcfd9386ec/AGC.sol:owned:owned(),"    function owned() public {
        owner = msg.sender;
    }
",0,10
0x5d034d0d0d98fb76192ef2ef27e197fcfd9386ec/AGC.sol:owned:onlyOwner(),"    modifier onlyOwner {
        require(msg.sender == owner);
        _;
    }
",4,8910
0x5d034d0d0d98fb76192ef2ef27e197fcfd9386ec/AGC.sol:owned:transferOwnership(address),"    function transferOwnership(address newOwner) onlyOwner public {
        owner = newOwner;
    }
",0,5
"0x5d034d0d0d98fb76192ef2ef27e197fcfd9386ec/AGC.sol:TokenERC20:TokenERC20(uint256,string,string)","    function TokenERC20( uint256 initialSupply, string tokenName, string tokenSymbol ) public {
        totalSupply = initialSupply * 10 ** uint256(decimals);  // Update total supply with the decimal amount
        balanceOf[msg.sender] = totalSupply;                // Give the creator all initial tokens
        name = tokenName;                                   // Set the name for display purposes
        symbol = tokenSymbol;                               // Set the symbol for display purposes
    }
",1,99
"0x5d034d0d0d98fb76192ef2ef27e197fcfd9386ec/AGC.sol:TokenERC20:_transfer(address,address,uint256)","    function _transfer(address _from, address _to, uint _value) internal {
        // Prevent transfer to 0x0 address. Use burn() instead
        require(_to != 0x0);
        // Check if the sender has enough
        require(balanceOf[_from] >= _value);
        // Check for overflows
        require(balanceOf[_to] + _value > balanceOf[_to]);
        // Save this for an assertion in the future
        uint previousBalances = balanceOf[_from] + balanceOf[_to];
        // Subtract from the sender
        balanceOf[_from] -= _value;
        // Add the same to the recipient
        balanceOf[_to] += _value;
        emit Transfer(_from, _to, _value);
        // Asserts are used to use static analysis to find bugs in your code. They should never fail
        assert(balanceOf[_from] + balanceOf[_to] == previousBalances);
    }
",2,787
"0x5d034d0d0d98fb76192ef2ef27e197fcfd9386ec/AGC.sol:TokenERC20:transfer(address,uint256)","    function transfer(address _to, uint256 _value) public {
        _transfer(msg.sender, _to, _value);
    }
",0,8
"0x5d034d0d0d98fb76192ef2ef27e197fcfd9386ec/AGC.sol:TokenERC20:approve(address,uint256)","    function approve(address _spender, uint256 _value) public returns (bool success) {
        allowance[msg.sender][_spender] = _value;
        return true;
    }
",1,428
0x5d034d0d0d98fb76192ef2ef27e197fcfd9386ec/AGC.sol:TokenERC20:burn(uint256),"    function burn(uint256 _value) public returns (bool success) {
        require(balanceOf[msg.sender] >= _value);   // Check if the sender has enough
        balanceOf[msg.sender] -= _value;            // Subtract from the sender
        totalSupply -= _value;                      // Updates totalSupply
        emit Burn(msg.sender, _value);
        return true;
    }
",0,2
"0x5d034d0d0d98fb76192ef2ef27e197fcfd9386ec/AGC.sol:TokenERC20:burnFrom(address,uint256)","    function burnFrom(address _from, uint256 _value) public returns (bool success) {
        require(balanceOf[_from] >= _value);                // Check if the targeted balance is enough
        require(_value <= allowance[_from][msg.sender]);    // Check allowance
        balanceOf[_from] -= _value;                         // Subtract from the targeted balance
        allowance[_from][msg.sender] -= _value;             // Subtract from the sender's allowance
        totalSupply -= _value;                              // Update totalSupply
        emit Burn(_from, _value);
        return true;
    }
",0,1
"0x5d034d0d0d98fb76192ef2ef27e197fcfd9386ec/AGC.sol:AGC:_transfer(address,address,uint256)","    function _transfer(address _from, address _to, uint _value) internal {
        require (_to != 0x0);                               // Prevent transfer to 0x0 address. Use burn() instead
        require (balanceOf[_from] > _value);                // Check if the sender has enough
        require (balanceOf[_to] + _value > balanceOf[_to]); // Check for overflows
        require(!frozenAccount[_from]);                     // Check if sender is frozen
        require(!frozenAccount[_to]);                       // Check if recipient is frozen
        balanceOf[_from] -= _value;                         // Subtract from the sender
        balanceOf[_to] += _value;                           // Add the same to the recipient
        emit Transfer(_from, _to, _value);
    }
",1,205
"0x5d034d0d0d98fb76192ef2ef27e197fcfd9386ec/AGC.sol:AGC:mintToken(address,uint256)","    function mintToken(address target, uint256 mintedAmount) onlyOwner public {
        balanceOf[target] += mintedAmount;
        totalSupply += mintedAmount;
        emit Transfer(0, this, mintedAmount);
        emit Transfer(this, target, mintedAmount);
    }
",0,4
"0x5d034d0d0d98fb76192ef2ef27e197fcfd9386ec/AGC.sol:AGC:freezeAccount(address,bool)","    function freezeAccount(address target, bool freeze) onlyOwner public {
        frozenAccount[target] = freeze;
        emit FrozenFunds(target, freeze);
    }
",0,1
"0x1bb0aff98d8d455b0cd651306aebedb31913b94e/BTHPoint.sol:SafeMath:mul(uint256,uint256)","    function mul(uint256 a, uint256 b) internal pure returns (uint256) {
        if (a == 0) {
            return 0;
        }
        uint256 c = a * b;
        assert(c / a == b);
        return c;
    }
",0,1101
"0x1bb0aff98d8d455b0cd651306aebedb31913b94e/BTHPoint.sol:SafeMath:div(uint256,uint256)","    function div(uint256 a, uint256 b) internal pure returns (uint256) {
        // assert(b > 0); // Solidity automatically throws when dividing by 0
        uint256 c = a / b;
        // assert(a == b * c + a % b); // There is no case in which this doesn't hold
        return c;
    }
",0,624
"0x1bb0aff98d8d455b0cd651306aebedb31913b94e/BTHPoint.sol:SafeMath:add(uint256,uint256)","    function add(uint256 a, uint256 b) internal pure returns (uint256) {
        uint256 c = a + b;
        assert(c >= a);
        return c;
    }
",5,5961
0x1bb0aff98d8d455b0cd651306aebedb31913b94e/BTHPoint.sol:Ownable:onlyOwner(),"    modifier onlyOwner() {
        require(msg.sender == owner);
        _;
    }
",3,8910
0x1bb0aff98d8d455b0cd651306aebedb31913b94e/BTHPoint.sol:Ownable:onlyNewOwner(),"    modifier onlyNewOwner() {
        require(msg.sender != address(0));
        require(msg.sender == newOwner);
        _;
    }
",2,3
0x1bb0aff98d8d455b0cd651306aebedb31913b94e/BTHPoint.sol:Ownable:transferOwnership(address),"    function transferOwnership(address _newOwner) public onlyOwner {
        require(_newOwner != address(0));
        newOwner = _newOwner;
    }
",0,23
0x1bb0aff98d8d455b0cd651306aebedb31913b94e/BTHPoint.sol:BTHPoint:totalSupply(),"    function totalSupply() public view returns (uint256) {
        return _totalSupply;
    }
",0,13
"0x1bb0aff98d8d455b0cd651306aebedb31913b94e/BTHPoint.sol:BTHPoint:transfer(address,uint256)","    function transfer(address _to, uint256 _value) public returns (bool) {
        require(_to != address(0));
        require(_to != address(this));
        require(msg.sender != address(0));
        require(_value <= _balances[msg.sender]);

        // SafeMath.sub will throw if there is not enough balance.
        _balances[msg.sender] = _balances[msg.sender].sub(_value);
        _balances[_to] = _balances[_to].add(_value);
        emit Transfer(msg.sender, _to, _value);
        return true;
    }
",0,1
"0x1bb0aff98d8d455b0cd651306aebedb31913b94e/BTHPoint.sol:BTHPoint:transferFrom(address,address,uint256)","    function transferFrom(address _from, address _to, uint256 _value) public returns (bool) {
        require(_from != address(0));
        require(_to != address(0));
        require(_to != address(this));
        require(_value <= _balances[_from]);
        require(_value <= _allowed[_from][msg.sender]);

        _balances[_from] = _balances[_from].sub(_value);
        _balances[_to] = _balances[_to].add(_value);
        _allowed[_from][msg.sender] = _allowed[_from][msg.sender].sub(_value);
        emit Transfer(_from, _to, _value);
        return true;
    }
",0,19
0x2ca70f6f8ebd683d5afc20d426839ef40e063f02/FaradTokenSwap.sol:Ownable:Ownable(),"    function Ownable() {
        owner = msg.sender;
    }
",0,34
0x2ca70f6f8ebd683d5afc20d426839ef40e063f02/FaradTokenSwap.sol:Ownable:onlyOwner(),"    modifier onlyOwner() {
        require(msg.sender == owner);
        _;
    }
",6,8910
0x2ca70f6f8ebd683d5afc20d426839ef40e063f02/FaradTokenSwap.sol:Ownable:transferOwnership(address),"    function transferOwnership(address newOwner) onlyOwner {
        if (newOwner != address(0)) {
            owner = newOwner;
        }
    }
",0,23
"0x2ca70f6f8ebd683d5afc20d426839ef40e063f02/FaradTokenSwap.sol:SafeMath:mul(uint256,uint256)","    function mul(uint256 a, uint256 b) internal returns (uint256) {
        uint256 c = a * b;
        assert(a == 0 || c / a == b);
        return c;
    }
",0,924
"0x2ca70f6f8ebd683d5afc20d426839ef40e063f02/FaradTokenSwap.sol:SafeMath:div(uint256,uint256)","    function div(uint256 a, uint256 b) internal returns (uint256) {
        // assert(b > 0); // Solidity automatically throws when dividing by 0
        uint256 c = a / b;
        // assert(a == b * c + a % b); // There is no case in which this doesn't hold
        return c;
    }
",0,624
"0x2ca70f6f8ebd683d5afc20d426839ef40e063f02/FaradTokenSwap.sol:SafeMath:sub(uint256,uint256)","    function sub(uint256 a, uint256 b) internal returns (uint256) {
        assert(b <= a);
        return a - b;
    }
",0,5487
"0x2ca70f6f8ebd683d5afc20d426839ef40e063f02/FaradTokenSwap.sol:SafeMath:add(uint256,uint256)","    function add(uint256 a, uint256 b) internal returns (uint256) {
        uint256 c = a + b;
        assert(c >= a);
        return c;
    }
",3,5961
0x2ca70f6f8ebd683d5afc20d426839ef40e063f02/FaradTokenSwap.sol:FaradTokenSwap:setWallet(address),"    function setWallet(address _wallet) onlyOwner public {
        wallet = _wallet;
    }
",0,1
0x2ca70f6f8ebd683d5afc20d426839ef40e063f02/FaradTokenSwap.sol:FaradTokenSwap:hasEnded(),"    function hasEnded() public constant returns (bool) {
        return block.number >= endBlock;
    }
",0,1
"0x2ca70f6f8ebd683d5afc20d426839ef40e063f02/FaradTokenSwap.sol:FaradTokenSwap:processContributions(address,uint256)","    function processContributions(address _contributor, uint256 _weiAmount) payable {
        require(validPurchase());

        uint256 updatedWeiRaised = weiRaised.add(_weiAmount);

        // update state
        weiRaised = updatedWeiRaised;

        // notify event for this contribution
        contributions[_contributor] = contributions[_contributor].add(_weiAmount);
        contribCount += 1;
        Contribution(_contributor, _weiAmount);

        // forware the funds
        forwardFunds();
    }
",1,4
0x2ca70f6f8ebd683d5afc20d426839ef40e063f02/FaradTokenSwap.sol:FaradTokenSwap:validPurchase(),"    function validPurchase() internal constant returns (bool) {
        uint256 current = block.number;

        bool withinPeriod = current >= startBlock && current <= endBlock;
        bool minPurchase = msg.value >= minContrib;

        // add total wei raised
        uint256 totalWeiRaised = weiRaised.add(msg.value);
        bool withinCap = totalWeiRaised <= totalEtherCap;

        // check all 3 conditions met
        return withinPeriod && minPurchase && withinCap;
    }
",1,4
0x2ca70f6f8ebd683d5afc20d426839ef40e063f02/FaradTokenSwap.sol:FaradTokenSwap:forwardFunds(),"    function forwardFunds() internal {
        wallet.transfer(msg.value);
    }
",1,129
"0x1b9dcdcddd2d6ca699cad9505faa363e81145c6b/BrinkToken.sol:BrinkToken:BrinkToken(uint256,string,uint8,string)","    function BrinkToken(
        uint256 _initialAmount,
        string _tokenName,
        uint8 _decimalUnits,
        string _tokenSymbol
    ) public {
        balances[msg.sender] = _initialAmount;               // Give the creator all initial tokens
        totalSupply = _initialAmount;                        // Update total supply
        name = _tokenName;                                   // Set the name for display purposes
        decimals = _decimalUnits;                            // Amount of decimals for display purposes
        symbol = _tokenSymbol;                               // Set the symbol for display purposes
    }
",0,8
"0x1b9dcdcddd2d6ca699cad9505faa363e81145c6b/BrinkToken.sol:BrinkToken:transfer(address,uint256)","    function transfer(address _to, uint256 _value) public returns (bool success) {
        require(balances[msg.sender] >= _value);
        balances[msg.sender] -= _value;
        balances[_to] += _value;
        Transfer(msg.sender, _to, _value);
        return true;
    }
",0,16
"0x1b9dcdcddd2d6ca699cad9505faa363e81145c6b/BrinkToken.sol:BrinkToken:transferFrom(address,address,uint256)","    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success) {
        uint256 allowance = allowed[_from][msg.sender];
        require(balances[_from] >= _value && allowance >= _value);
        balances[_to] += _value;
        balances[_from] -= _value;
        if (allowance < MAX_UINT256) {
            allowed[_from][msg.sender] -= _value;
        }
        Transfer(_from, _to, _value);
        return true;
    }
",0,9
0x1b9dcdcddd2d6ca699cad9505faa363e81145c6b/BrinkToken.sol:BrinkToken:balanceOf(address),"    function balanceOf(address _owner) public view returns (uint256 balance) {
        return balances[_owner];
    }
",0,226
"0x1b9dcdcddd2d6ca699cad9505faa363e81145c6b/BrinkToken.sol:BrinkToken:approve(address,uint256)","    function approve(address _spender, uint256 _value) public returns (bool success) {
        allowed[msg.sender][_spender] = _value;
        Approval(msg.sender, _spender, _value);
        return true;
    }
",0,316
"0x1b9dcdcddd2d6ca699cad9505faa363e81145c6b/BrinkToken.sol:BrinkToken:allowance(address,address)","    function allowance(address _owner, address _spender) public view returns (uint256 remaining) {
        return allowed[_owner][_spender];
    }
",0,14
"0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:SafeMath:mul(uint256,uint256)","    function mul(uint256 a, uint256 b) internal constant returns (uint256) {
        uint256 c = a * b;
        assert(a == 0 || c / a == b);
        return c;
    }
",0,924
"0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:SafeMath:div(uint256,uint256)","    function div(uint256 a, uint256 b) internal constant returns (uint256) {
        // assert(b > 0); // Solidity automatically throws when dividing by 0
        uint256 c = a / b;
        // assert(a == b * c + a % b); // There is no case in which this doesn't hold
        return c;
    }
",3,624
"0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:SafeMath:add(uint256,uint256)","    function add(uint256 a, uint256 b) internal constant returns (uint256) {
        uint256 c = a + b;
        assert(c >= a);
        return c;
    }
",5,5961
0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:Ownable:Ownable(),"    function Ownable() {
        owner = msg.sender;
    }
",0,34
0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:Ownable:onlyOwner(),"    modifier onlyOwner() {
        require(msg.sender == owner);
        _;
    }
",4,8910
0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:Ownable:transferOwnership(address),"    function transferOwnership(address newOwner) onlyOwner {
        require(newOwner != address(0));
        owner = newOwner;
    }
",0,23
0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:BunzolaToken:onlyPayloadSize(uint256),"    modifier onlyPayloadSize(uint size) {
        require(msg.data.length >= size + 4);
        _;
    }
",2,258
0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:BunzolaToken:canPoSMint(),"    modifier canPoSMint() {
        require(totalSupply < maxTotalSupply);
        _;
    }
",1,20
0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:BunzolaToken:balanceOf(address),"    function balanceOf(address _owner) constant returns (uint256 balance) {
        return balances[_owner];
    }
",0,226
"0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:BunzolaToken:approve(address,uint256)","    function approve(address _spender, uint256 _value) returns (bool) {
        require((_value == 0) || (allowed[msg.sender][_spender] == 0));

        allowed[msg.sender][_spender] = _value;
        Approval(msg.sender, _spender, _value);
        return true;
    }
",0,22
"0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:BunzolaToken:allowance(address,address)","    function allowance(address _owner, address _spender) constant returns (uint256 remaining) {
        return allowed[_owner][_spender];
    }
",0,14
0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:BunzolaToken:mint(),"    function mint() canPoSMint returns (bool) {
        if(balances[msg.sender] <= 0) return false;
        if(transferIns[msg.sender].length <= 0) return false;

        uint reward = getProofOfStakeReward(msg.sender);
        if(reward <= 0) return false;

        totalSupply = totalSupply.add(reward);
        balances[msg.sender] = balances[msg.sender].add(reward);
        delete transferIns[msg.sender];
        transferIns[msg.sender].push(transferInStruct(uint128(balances[msg.sender]),uint64(now)));

        Mint(msg.sender, reward);
        return true;
    }
",1,19
0x4aadeb688a85d4828c682716626e1398c18aa616/BunzolaToken.sol:BunzolaToken:getProofOfStakeReward(address),"    function getProofOfStakeReward(address _address) internal returns (uint) {
        require( (now >= stakeStartTime) && (stakeStartTime > 0) );

        uint _now = now;
        uint _coinAge = getCoinAge(_address, _now);
        if(_coinAge <= 0) return 0;

        uint interest = maxMintProofOfStake;
        // Due to the high interest rate for the first two years, compounding should be taken into account.
        // Effective annual interest rate = (1 + (nominal rate / number of compounding periods)) ^ (number of compounding periods) - 1
        if((_now.sub(stakeStartTime)).div(1 years) == 0) {
            // 1st year effective annual interest rate is 100% when we select the stakeMaxAge (90 days) as the compounding period.
            interest = (770 * maxMintProofOfStake).div(100);
        } else if((_now.sub(stakeStartTime)).div(1 years) == 1){
            // 2nd year effective annual interest rate is 50%
            interest = (435 * maxMintProofOfStake).div(100);
        }

        return (_coinAge * interest).div(365 * (10**decimals));
    }
",1,14
