function1 code,function2 code,function1 FEN,function2 FEN,label1,label2,label
"    function approve(address _spender, uint256 _value) returns (bool success) {
        allowed[msg.sender][_spender] = _value;
        Approval(msg.sender, _spender, _value);
        return true;
    }
","  function approve(address _spender, uint256 _value) public returns (bool) {
    allowed[msg.sender][_spender] = _value;
    emit Approval(msg.sender, _spender, _value);
    return true;
  }
","0x6c437ddf9397be0708d13e6b063fb564fa8cbf5d/BigDickClub.sol:StandardToken:approve(address,uint256)","0x7cef08c8324c74bb12c18b775034ced5186ed0df/StarTravelLane.sol:StandardToken:approve(address,uint256)",4,4,1
"    function approve(address _spender, uint256 _value) public
        returns (bool success) {
        allowance[msg.sender][_spender] = _value;
        return true;
    }
","    function approve(address _spender, uint256 _value) public
        returns (bool success) {
        allowance[msg.sender][_spender] = _value;
        return true;
    }
","0x8a9ec3aa052946071fa87d7a5ead90d17108d905/BunnyToken.sol:BunnyToken:approve(address,uint256)","0x1db7f8171d82f9fc009f207cd80dd00a54b77560/OllisCoin.sol:OllisCoin:approve(address,uint256)",5,5,1
"  function transfer(address _to, uint256 _value) public returns (bool) {
    require(_to != address(0));
    require(_value <= balances[msg.sender]);

    // SafeMath.sub will throw if there is not enough balance.
    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    return true;
  }
","  function transfer(address _to, uint256 _value) public returns (bool) {
    require(_to != address(0));
    require(_value <= balances[msg.sender]);

    // SafeMath.sub will throw if there is not enough balance.
    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    Transfer(msg.sender, _to, _value);
    return true;
  }
","0x02ebe0ce3ac0ada772a5831cf3a6742a84ee22f5/BFMToken.sol:BasicToken:transfer(address,uint256)","0x8a619b19e85e264770eb67dbdbcaf0daa9158a6c/OD1Coin.sol:BasicToken:transfer(address,uint256)",4,4,1
"	function approve(address _spender, uint256 _value) returns (bool success) {
	    allowed[msg.sender][_spender] = _value;
	    Approval(msg.sender, _spender, _value);
	    return true;
	}
","    function approve(address _spender, uint256 _value) returns (bool success) {
        allowed[msg.sender][_spender] = _value;
        Approval(msg.sender, _spender, _value);
        return true;
    }
","0x3b253defe296877ad467eaca7bfb60937bd7c457/GSD.sol:GSD:approve(address,uint256)","0x0dc44fb8cfb88cd58628846cdcefff4089d9ac7e/oddular.sol:StandardToken:approve(address,uint256)",5,5,1
"    function allowance(address _owner, address _spender) public constant returns (uint256 remaining) {
    return allowed[_owner][_spender];
    }
","    function allowance(address _owner, address _spender) constant returns (uint256 remaining) {
      return allowed[_owner][_spender];
    }
","0x6dc5880bad03f0eeb6e6b60954074cd3739563d0/AssetMoira.sol:ERC20Token:allowance(address,address)","0x7b46aa8f02b7d7d51fb355f8b0aec5a02d44baa3/TestCoin.sol:StandardToken:allowance(address,address)",5,5,1
"  function balanceOf(address _owner) constant returns (uint256 balance) {
    return balances[_owner];
  }
","     function balanceOf(address _owner) constant returns (uint256 balance) {
        return balances[_owner];
     }
",0x0dffe2e82d6175bc5cb2ef4ef0f67939ecfdbe3e/EplusCoinToken.sol:StandardToken:balanceOf(address),0x5c227eb319c24249df66d0c5879515aa59787471/BitAlpha.sol:BitAlpha:balanceOf(address),5,5,1
"     modifier onlyOwner() {
        require(msg.sender == owner);
        _;
    }
","    modifier onlyOwner() {
        require(msg.sender == owner);
        _;
    }
",0x0cd103a98a13025871d006793bd4ab69fdf34d74/CorvusToken.sol:CorvusToken:onlyOwner(),0x4c129783B42833220ad57d48548f871189009d3f/HoQuBurner.sol:Ownable:onlyOwner(),5,5,1
"    function approve(address _spender, uint256 _value) public returns (bool success)
    {
        allowed[msg.sender][_spender] = _value;
        Approval(msg.sender, _spender, _value);
        return true;
    }
","    function approve(address _spender, uint256 _value) returns (bool success)
    {
        allowed[msg.sender][_spender] = _value;
        Approval(msg.sender, _spender, _value);
        return true;
    }
","0x6cd694d5a9c71cd811922e3cb314f44afe25a48c/TJCUToken.sol:TJCUToken:approve(address,uint256)","0x1fdd9abafd1013518bac51af0346585b810fc1c4/Meridian.sol:ERC20Token:approve(address,uint256)",5,5,1
"    function transferOwnership(address newOwner) public onlyOwner {
        require(newOwner != address(0));
        OwnershipTransferred(owner, newOwner);
        owner = newOwner;
    }
","  function transferOwnership(address newOwner) onlyOwner public {
    require(newOwner != address(0));
    OwnershipTransferred(owner, newOwner);
    owner = newOwner;
  }
",0x6a70a37379601a7220df2444b51cc34a1a7b0cc4/CABoxToken.sol:Ownable:transferOwnership(address),0x04fd2dc8979d92bba530fd78be5296adc6ed5d43/HOLODECKS.sol:Ownable:transferOwnership(address),5,5,1
"    function div(uint256 a, uint256 b) internal pure returns (uint256) {
        // assert(b > 0); // Solidity automatically throws when dividing by 0
        uint256 c = a / b;
        // assert(a == b * c + a % b); // There is no case in which this doesn't hold
        return c;
    }
","    function div(uint256 a, uint256 b) internal constant returns(uint256) {
        uint256 c = a / b;
        return c;
    }
","0x1a66e09f7dccc10eae46e27cfa6b8d44a50df1e7/PRASMToken.sol:SafeMath:div(uint256,uint256)","0x5Cd8d674e6E8CF2c0124A9215a849d6eb52962e4/NLEURO.sol:SafeMath:div(uint256,uint256)",5,5,1
"    function balanceOf(address _owner) view public returns (uint256 balance) {
        return balances[_owner];
    }
","    function balanceOf(address _owner) constant returns (uint256 balance) {
        return balances[_owner];
    }
",0x0fca8fdb0fb115a33baadec6e7a141ffc1bc7d5a/DevCash.sol:DevCash:balanceOf(address),0x06f0b31fa75d6a4f689fa0f4225f1811ae4a7e7d/TokenSaleAfterSplit.sol:ControlledToken:balanceOf(address),4,5,1
"  function approve(address _spender, uint256 _value) public returns (bool) {
    allowed[msg.sender][_spender] = _value;
    emit Approval(msg.sender, _spender, _value);
    return true;
  }
","  function approve(address _spender, uint256 _value) public returns (bool) {
    allowed[msg.sender][_spender] = _value;
    Approval(msg.sender, _spender, _value);
    return true;
  }
","0x6f2057f83c05378f22a15b72a424367cb40abc1b/TokenCSR.sol:StandardToken:approve(address,uint256)","0x5ABC07D28DCC3B60a164d57e4E3981a090c5d6De/BOMBBA.sol:BOMBBA:approve(address,uint256)",4,4,1
"    function transferOwnership(address newOwner) public onlyOwner {
        require(newOwner != address(0));
        emit OwnershipTransferred(owner, newOwner);
        owner = newOwner;
    }
","  function transferOwnership(address newOwner) public onlyOwner {
    require(newOwner != address(0));
    OwnershipTransferred(owner, newOwner);
    owner = newOwner;
  }
",0x3a7a5ba347928dfc8a748b5e55558d5fee84a2a9/MPToken.sol:Ownable:transferOwnership(address),0x1d8f5b2bd72a7db787e4f42cce6be8474389353d/EthRoi.sol:Ownable:transferOwnership(address),4,4,1
"     function approve(address _spender, uint256 _value) returns (bool success) {
          allowed[msg.sender][_spender] = _value;
          Approval(msg.sender, _spender, _value);

          return true;
     }
","    function approve(address _spender, uint256 _value) returns (bool success) {
        allowed[msg.sender][_spender] = _value;
        Approval(msg.sender, _spender, _value);
        return true;
    }
","0x1b3b1aa7b91bd483e6dcd3f7560494345d102550/MNTP.sol:StdToken:approve(address,uint256)","0x7b41f87b09677986fa5ed10519d3ad8ef559648d/MoccaCoin.sol:StandardToken:approve(address,uint256)",5,5,1
"    function add(uint a, uint b) internal pure returns (uint c) {
        c = a + b;
        require(c >= a);
    }
","    function add(uint a, uint b) internal pure returns (uint c) {

        c = a + b;

        require(c >= a);

    }
","0x5da1ae58900514cbae8b03a05bd2e8e71de7e6a1/AOT.sol:SafeMath:add(uint256,uint256)","0x0df610d4229bcd5e149eec3e806a9afe74f5d63f/HVAToken.sol:SafeMath:add(uint256,uint256)",5,5,1
"  function transferFrom(address _from, address _to, uint256 _value) public returns (bool) {
    require(_to != address(0));
    require(_value <= balances[_from]);
    require(_value <= allowed[_from][msg.sender]);

    balances[_from] = balances[_from].sub(_value);
    balances[_to] = balances[_to].add(_value);
    allowed[_from][msg.sender] = allowed[_from][msg.sender].sub(_value);
    Transfer(_from, _to, _value);
    return true;
  }
","  function transferFrom(address _from, address _to, uint256 _value) public returns (bool) {
    require(_to != address(0));
    require(_value <= balances[_from]);
    require(_value <= allowed[_from][msg.sender]);

    balances[_from] = balances[_from].sub(_value);
    balances[_to] = balances[_to].add(_value);
    allowed[_from][msg.sender] = allowed[_from][msg.sender].sub(_value);
    emit Transfer(_from, _to, _value);
    return true;
  }
","0x1efc4dfd580df95426a0f04848870bd8cb5a338e/AcademyToken.sol:AcademyToken:transferFrom(address,address,uint256)","0x3cbaf1d511adf5098511b5c5b39e1f1b506c1afe/XRT.sol:StandardToken:transferFrom(address,address,uint256)",4,4,1
"    function transferFrom(address _from, address _to, uint256 _value) returns (bool success) {
      require(balanceOf[_from] >= _value);
      require(allowance[_from][msg.sender] >= _value);

      balanceOf[_from] -= _value;
      balanceOf[_to] += _value;
      allowance[_from][msg.sender] -= _value;
      Transfer(_from, _to, _value);
      return true;
    }
","	function transferFrom(address from, address to, uint256 value)
		public
		returns (bool success)
	{
		require(value <= balanceOf[from]);
		require(value <= allowance[from][msg.sender]);

		balanceOf[from] -= value;
		balanceOf[to] += value;
		allowance[from][msg.sender] -= value;
		emit Transfer(from, to, value);
		return true;
	}
","0x0e285934fa1370b014fd5c639cf9eb03433af238/AbxyjoyCoin.sol:AbxyjoyCoin:transferFrom(address,address,uint256)","0x4e6998f0131c1fde3f36d1660d84c5c1a7c4ee26/BNP_PARIBAS_301201.sol:BNP_PARIBAS_301201:transferFrom(address,address,uint256)",4,4,1
"  function releaseTokenTransfer() public onlyReleaseAgent {
    released = true;
  }
","  function releaseTokenTransfer() public onlyReleaseAgent {
    released = true;
  }
",0x0af44e2784637218dd1d32a322d44e603a8f0c6a/MatryxToken.sol:ReleasableToken:releaseTokenTransfer(),0x5de3e294ca2a0aba67df4610015d8e21cb8c8987/CrowdsaleTokenExt.sol:ReleasableToken:releaseTokenTransfer(),5,5,1
"  function transfer(address _to, uint256 _value) public returns (bool) {
    require(_to != address(0));
    require(_value <= balances[msg.sender]);

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    return true;
  }
","  function transfer(address _to, uint256 _value) public returns (bool) {
    require(_to != address(0));
    require(_value <= balances[msg.sender]);

    balances[msg.sender] = balances[msg.sender].sub(_value);
    balances[_to] = balances[_to].add(_value);
    emit Transfer(msg.sender, _to, _value);
    return true;
  }
","0x3a6ad3b097a5623fcea2eb490c921654ee9630ac/EYHToken.sol:BasicToken:transfer(address,uint256)","0x3E1d5A855aD9D948373aE68e4fe1f094612b1322/HyperQuantToken.sol:BasicToken:transfer(address,uint256)",5,5,1
"    function owned() {
        owner = msg.sender;
    }
","    function owned() public {
        owner = msg.sender;
    }
",0x4b855725bb816b7e2b3e67bcffe0436b407675ae/SimpleRegistrar.sol:owned:owned(),0x5d406656272da7c83966be544910732c4a547f86/ELearningCoinERC.sol:owned:owned(),5,5,1
"  function decreaseApproval(
    address _spender,
    uint256 _subtractedValue
  )
    public
    returns (bool)
  {
    uint256 oldValue = allowed[msg.sender][_spender];
    if (_subtractedValue > oldValue) {
      allowed[msg.sender][_spender] = 0;
    } else {
      allowed[msg.sender][_spender] = oldValue.sub(_subtractedValue);
    }
    emit Approval(msg.sender, _spender, allowed[msg.sender][_spender]);
    return true;
  }
","  function decreaseApproval(address _spender, uint _subtractedValue) public returns (bool) {
    uint oldValue = allowed[msg.sender][_spender];
    if (_subtractedValue > oldValue) {
      allowed[msg.sender][_spender] = 0;
    } else {
      allowed[msg.sender][_spender] = oldValue.sub(_subtractedValue);
    }
    emit Approval(msg.sender, _spender, allowed[msg.sender][_spender]);
    return true;
  }
","0x1f060991e27634cdc449776ed9771e6f8cce6dd0/CoinSmarttICO.sol:StandardToken:decreaseApproval(address,uint256)","0x1aD8e98a828D8c460e994F279E35fbE4cf213bA6/CommitGoodToken.sol:StandardToken:decreaseApproval(address,uint256)",4,4,1
"  function Ownable() {
    owner = msg.sender;
  }
","  function Ownable() public {
    owner = msg.sender;
  }
",0x0e3785b2ecb235ad8f225331259eacc89f864877/MinexoDigital.sol:Ownable:Ownable(),0x1dc3fc96b218b4ac9d36193f3325d949f9ed3a26/ETYCToken.sol:Ownable:Ownable(),5,5,1
"  function allowance(address _owner, address _spender) public view returns (uint256) {
     return allowed[_owner][_spender];
   }
","    function allowance(address _owner, address _spender) constant public returns (uint256) {
        return allowed[_owner][_spender];
    }
","0x0cf004e9634cf978ed4cce28349bf9514609d5e7/StandardToken.sol:StandardToken:allowance(address,address)","0x0B117cd026EeC3af86eBEdA40B6b25eED1662E60/UBlockChain.sol:UBlockChain:allowance(address,address)",5,5,1
"	function add(uint256 a, uint256 b) internal pure returns (uint256 c) {
		c = a + b;
		assert(c >= a);
		return c;
	}
","  function add(uint256 a, uint256 b) constant public returns (uint256) {
    uint256 c = a + b;
    assert(c >= a);
    return c;
  }
","0x6acd16200a2a046bf207d1b263202ec1a75a7d51/dappVolumeHearts.sol:SafeMath:add(uint256,uint256)","0x4ddb111812363e92d41e31fc3bfeee33fc7dba27/CABCoin.sol:SafeMath:add(uint256,uint256)",4,4,1
"    function transfer(address _to, uint256 _value) returns(bool) {
        balances[msg.sender] = balances[msg.sender].sub(_value);
        balances[_to] = balances[_to].add(_value);
        Transfer(msg.sender, _to, _value);
        return true;
    }
","   function transfer(address _to, uint256 _value) public returns (bool) {
    ico_balances[msg.sender] = ico_balances[msg.sender].sub(_value);
    ico_balances[_to] = ico_balances[_to].add(_value);
    Transfer(msg.sender, _to, _value);
    return true;
  }
","0x7e562bff582b6c56757ebf53e4807f8e75b6d31d/Dashx.sol:Dashx:transfer(address,uint256)","0x2d4c0a94ecc29513972b302ea143aa6e0412fcde/BasisIco.sol:BasisIco:transfer(address,uint256)",4,4,1
"   function balanceOf(address _owner) public view returns (uint256 balance) {
      return balances[_owner];
   }
","  function balanceOf(address _owner) public view returns (uint256 balance) {
    return balances[_owner];
  }
",0x6d68003c0452632a87381c42091fc94ceb047fd1/Duckcoin.sol:ERC20Token:balanceOf(address),0x04cc783b450b8d11f3c7d00dd03fdf7fb51fe9f2/FilmscoinToken.sol:BasicToken:balanceOf(address),5,5,1
"  modifier whenPaused() {
    require(paused);
    _;
  }
","  modifier whenPaused() {
    require(paused);
    _;
  }
",0x8c1f5174ac847520a9859f6dccd59a1c28b75021/HNYToken.sol:Pausable:whenPaused(),0x7b606bc8ce7ba370b14bf5b43d1987cbaadc8d6d/DunkPayToken.sol:Pausable:whenPaused(),5,5,1
"    function approveAndCall(address _spender, uint256 _value, bytes _extraData) public
        returns (bool success) {
        tokenRecipient spender = tokenRecipient(_spender);
        if (approve(_spender, _value)) {
            spender.receiveApproval(msg.sender, _value, this, _extraData);
            return true;
        }
    }
","    function approveAndCall(address _spender, uint256 _value, bytes _extraData)
        public
        returns (bool success) {
        tokenRecipient spender = tokenRecipient(_spender);
        if (approve(_spender, _value)) {
            spender.receiveApproval(msg.sender, _value, this, _extraData);
            return true;
        }
    }
","0x5AD02e427Db5257169dD8e8997DC335cBA2fE65c/KDTToken.sol:KDTToken:approveAndCall(address,uint256,bytes)","0x6ef1cdb9aaa7d7ca0deea9b542a7cf3dada7c996/YunbeiToken.sol:TokenERC20:approveAndCall(address,uint256,bytes)",5,5,1
"  function div(uint256 a, uint256 b) internal pure returns (uint256) {
    // assert(b > 0); // Solidity automatically throws when dividing by 0
    uint256 c = a / b;
    // assert(a == b * c + a % b); // There is no case in which this doesn't hold
    return c;
  }
","  function div(uint256 a, uint256 b) internal pure returns (uint256) {
    uint256 c = a / b;
    return c;
  }
","0x4ca68c8ecb94acbc736bcb4119fd76aa5170b226/StupidCoin.sol:SafeMath:div(uint256,uint256)","0x7d2624470429a4fa48f09206238749fbbb45eaa8/Academicon.sol:SafeMath:div(uint256,uint256)",5,5,1
"    function approve(address _spender, uint256 _value) returns (bool success)
    {
        allowed[msg.sender][_spender] = _value;
        Approval(msg.sender, _spender, _value);
        return true;
    }
","    function approve(address _spender, uint256 _value) returns (bool success){
         allowed[msg.sender][_spender] = _value;
         Approval(msg.sender, _spender, _value);
         return true;
    }
","0x7a03664e23ecf1951b0a1f32d9a2be52631533f4/BritainGlobalCurrencyToken.sol:BritainGlobalCurrencyToken:approve(address,uint256)","0x7ce88ceed1015ecebaed624459dd97435e77157b/ATCToken.sol:ATCToken:approve(address,uint256)",5,5,1
"    function owned() public {
        owner = msg.sender;
    }
","    function Owned() public {
        owner = msg.sender;
    }
",0x0bab6f620063cbb684c06877957f89f1bb10616f/SmartIndustrialToken.sol:owned:owned(),0x7ddb9cd43313a9af3494a7030aba5293f94cfecd/ttToken.sol:Owned:Owned(),4,4,1
"    function div(uint256 a, uint256 b) internal constant returns(uint256) {
        uint256 c = a / b;
        return c;
    }
","  function div(uint256 a, uint256 b) internal constant returns (uint256) {
    // assert(b > 0); // Solidity automatically throws when dividing by 0
    uint256 c = a / b;
    // assert(a == b * c + a % b); // There is no case in which this doesn't hold
    return c;
  }
","0x0e783f74942e8bacbed3b48a7ec0830b3236edc9/CLEMON.sol:SafeMath:div(uint256,uint256)","0x001ea8150f4965195e10e5b5568047e1555a6dcd/SenseProtocol.sol:SafeMath:div(uint256,uint256)",5,5,1
" modifier onlyOwner() {
   require(msg.sender == owner);
   _;
 }
","  modifier onlyOwner() {
    require(msg.sender == owner);
    _;
  }
",0x0d49b24f068a9a3ef60576c7a915ffd6844d6fdd/TokenLoot.sol:Ownable:onlyOwner(),0x4a152dd76d1919779190feea11edd06c00fed4e0/TttestaryToken.sol:Ownable:onlyOwner(),5,5,1
"    function allowance(address _owner, address _spender) public view returns (uint256 remaining) {
        return allowance[_owner][_spender];
    }
","    function allowance(address _owner, address _spender) constant returns (uint256 remaining) {
      return allowed[_owner][_spender];
    }
","0x7d5404ea3344745f80d039c28efbe44742935593/Arascacoin.sol:Arascacoin:allowance(address,address)","0x6b414584f7dd3750a0d61b4b8692242a7debee06/XGoldToken.sol:StandardToken:allowance(address,address)",4,4,1
"  function sub(uint _a, uint _b) internal pure returns (uint) {
    assert(_b <= _a);
    return _a - _b;
  }
","  function sub(uint a, uint b) internal returns (uint) {
    assert(b <= a);
    return a - b;
  }
","0x7d4d05abcadbdbf877c5cd5eb9dac6ddaa17ff89/BECCToken.sol:SafeMath:sub(uint256,uint256)","0x3dd2ecaa49df3306c1332d2b858dfe8268314a5c/DigiassetzToken.sol:SafeMath:sub(uint256,uint256)",5,5,1
"    function safeMul(uint a, uint b) public pure returns (uint c) {
        c = a * b;
        require(a == 0 || c / a == b);
    }
","  function mul(uint a, uint b) internal returns (uint) {
    uint c = a * b;
    assert(a == 0 || c / a == b);
    return c;
  }
","0x5fb9a342ac544ce400a7ef82ec26e731670276e9/BUXCOINMONEYCONTRACT.sol:SafeMath:safeMul(uint256,uint256)","0x3ac8e1b28fea1a86d6e6033870c9ec29beeb43aa/THETOKEN.sol:SafeMath:mul(uint256,uint256)",4,4,1
"    function safeMul(uint a, uint b) internal pure returns (uint c) {
        c = a * b;
        require(a == 0 || c / a == b);
    }
","  function times(uint a, uint b) returns (uint) {
    uint c = a * b;
    assert(a == 0 || c / a == b);
    return c;
  }
","0x2b319ebea4ce46899171803956093d31830da508/Shakedown0x.sol:SafeMath:safeMul(uint256,uint256)","0x2Bd9370e22498B3A08771d5eA5Bda84b2c45A43a/SafeMathLibExt.sol:SafeMathLibExt:times(uint256,uint256)",2,3,1
"  function transferOwnership(address newOwner) onlyOwner public {
    pendingOwner = newOwner;
  }
","    function transferOwnership(address _newOwner) public onlyOwner {
        newOwner = _newOwner;
    }
",0x0dD1C99aC9BC48A1d482878ECC8B9760Aa1e8De2/InToken.sol:Claimable:transferOwnership(address),0x4c4d0a4a307bb9ccbd3e70adf5382ac980865d86/PreHELIX.sol:Owned:transferOwnership(address),4,4,1
"  function Ownable() public {
      owner = msg.sender;
  }
","  function Ownable() public {
    owner = msg.sender;
  }
",0x2bb362a97f2bbb87af4cfe4faa6e3f049a5e364f/DoctorChainToken.sol:Ownable:Ownable(),0x1a7cc52ca652ac5df72a7fa4b131cb9312dd3423/MagnusCoin.sol:Ownable:Ownable(),5,5,1
"  function decreaseApproval (address _spender, uint _subtractedValue)
    returns (bool success) {
    uint oldValue = allowed[msg.sender][_spender];
    if (_subtractedValue > oldValue) {
      allowed[msg.sender][_spender] = 0;
    } else {
      allowed[msg.sender][_spender] = oldValue.sub(_subtractedValue);
    }
    Approval(msg.sender, _spender, allowed[msg.sender][_spender]);
    return true;
  }
","  function decreaseApproval (address _spender, uint _subtractedValue)
    returns (bool success) {
    uint oldValue = allowed[msg.sender][_spender];
    if (_subtractedValue > oldValue) {
      allowed[msg.sender][_spender] = 0;
    } else {
      allowed[msg.sender][_spender] = oldValue.sub(_subtractedValue);
    }
    Approval(msg.sender, _spender, allowed[msg.sender][_spender]);
    return true;
  }
","0x2b022ba25bc7be712dd8e62a5937da54003cdea9/DogCoinCrowdsale.sol:StandardToken:decreaseApproval(address,uint256)","0x1f8b657d1008798842edf8ea80b135ca723295a1/Spacoin.sol:StandardToken:decreaseApproval(address,uint256)",5,5,1
"  function _transferOwnership(address _newOwner) internal {
    require(_newOwner != address(0));
    emit OwnershipTransferred(owner, _newOwner);
    owner = _newOwner;
  }
","  function _transferOwnership(address _newOwner) internal {
    require(_newOwner != address(0));
    emit OwnershipTransferred(owner, _newOwner);
    owner = _newOwner;
  }
",0x3E1d5A855aD9D948373aE68e4fe1f094612b1322/HyperQuantToken.sol:Ownable:_transferOwnership(address),0x5b78fd6f5e8ea497534dd205e58daa51d26eded2/BITXDistributionTools.sol:Ownable:_transferOwnership(address),5,5,1
