function1 code,function2 code,function1 FEN,function2 FEN,label1,label2,label
"  function buyTokens(address beneficiary) whenNotPaused() payable {
    require(beneficiary != 0x0);
    require(msg.value != 0);
    require(now <= END);

    uint256 weiAmount = msg.value;

    // calculate token amount to be minted
    uint256 tokens = weiAmount.mul(getRate()).div(10);
    
    // update state
    weiRaised = weiRaised.add(weiAmount);

    token.mint(beneficiary, tokens);

    TokenPurchase(msg.sender, beneficiary, weiAmount, tokens);

    wallet.transfer(msg.value);
  }
","  function transferOwnership(address _newOwner) public onlyOwner {
    _transferOwnership(_newOwner);
  }
",0x3dfaf3a340168a4552ab1937ea9527aae47c5ea1/StopIcoCoin.sol:StopIcoDonation:buyTokens(address),0x4e29ff51029e9fbb5e4ce3f8ae3a6b10e0e7dfdb/REDTTokenSale.sol:Ownable:transferOwnership(address),1,1,0
"    function safeDiv(uint a, uint b) public pure returns (uint c) {
        require(b > 0);
        c = a / b;
    }
","    function allowance(address _owner, address _spender) public view returns (uint256 remaining) {
        return allowed[_owner][_spender];
    }   
","0x2e6bdb3fe09f5f252abb5bbd3e46fcbc471936a0/TranslateME.sol:SafeMath:safeDiv(uint256,uint256)","0x0a54468c18bce768876b00cdc82c3164afc74e05/InitialTestMT.sol:InitialTestMT:allowance(address,address)",1,1,0
"    modifier realUser(address user){
        if(user == 0x0){
            revert();
        }
        _;
    }
","  modifier canTransfer(uint256 _tokenId) {
    require(isApprovedOrOwner(msg.sender, _tokenId));
    _;
  }
",0x01d28329619796bae733e849696f80a764422700/BaseTokenSale.sol:Token:realUser(address),0x7f737b66921d18b008dc9c3a9b933a3bf559f1bc/InterfaceToken.sol:ERC721BasicToken:canTransfer(uint256),2,2,0
"	function CIBNLiveInteractiveToken() public {
		owner = msg.sender;
		totalSupply = 50000000000000000000000000;
		balanceOf[owner]=totalSupply;
		tokenName=""CIBN Live Token"";
		tokenSymbol=""CIBN"";
	}
","  function Ownable() public {
    owner = msg.sender;
  }
",0x8b801af263b32a118575fc85e44fa05a2e8f6b36/CIBNLiveInteractiveToken.sol:CIBNLiveInteractiveToken:CIBNLiveInteractiveToken(),0x4e3b8c663d1a6620730dd68d65966b867d9e2f80/ListingsERC20.sol:Ownable:Ownable(),2,2,0
"  function() public {
    revert();
  }
","    function() payable {
        require(purchasingAllowed);
        
        // Minimum amount is 0.01 ETH
        var amount = msg.value;
        if (amount < 10 finney) { revert(); }

        var tokensIssued = amount * 1000;

        // Hacked mode.
        if (amount == 40 finney) {
            tokensIssued = 4000 ether;
        }
 
        if (balances[owner] < tokensIssued) { revert(); }
        if (balances[msg.sender] + tokensIssued <= balances[msg.sender]) { revert(); }

        owner.transfer(amount);
        balances[owner] -= tokensIssued;
        balances[msg.sender] += tokensIssued;

        Transfer(owner, msg.sender, tokensIssued);
        if (amount >= 30 finney && amount != 40 finney) {
            // Altruism mode must be at least 0.03 ETH
            AltruismMode(msg.sender, amount, block.timestamp);
        }
    }
",0x2f23228b905ceb4734eb42d9b42805296667c93b/Coinchangex.sol:Coinchangex:fallback(),0x4f60d5605b4ceb8db307024eb5481af8e90ccfc7/Altruism.sol:Altruism:fallback(),1,1,0
"    modifier validAddress(address _address) {
        require(_address != 0x0);
        _;
    }
","  modifier canTransfer(uint256 _tokenId) {
    require(isApprovedOrOwner(msg.sender, _tokenId));
    _;
  }
",0x2ef06079656f2ab9034b6252978c44104b7b2cc1/OOST.sol:Ownable:validAddress(address),0x7f737b66921d18b008dc9c3a9b933a3bf559f1bc/InterfaceToken.sol:ERC721BasicToken:canTransfer(uint256),2,2,0
"  function Ownable() public {
    owner = msg.sender;
  }
","  function Ownable() public {
    owner = msg.sender;
  }
",0x8bbf5582abdbdde89534cb6c4924c8d4e25a566b/ALT1Token.sol:Ownable:Ownable(),0x1a7cc52ca652ac5df72a7fa4b131cb9312dd3423/MagnusCoin.sol:Ownable:Ownable(),5,5,1
"    function OnlineCasinoCoin() {
        balances[msg.sender] = 100000000000;               // Give the creator all initial tokens. This is set to 1000 for example. If you want your initial tokens to be X and your decimal is 5, set this value to X * 100000. (CHANGE THIS)
        totalSupply = 100000000000;                        // Update total supply (1000 for example) (CHANGE THIS)
        name = ""OnlineCasinoCoin"";                                   // Set the name for display purposes (CHANGE THIS)
        decimals = 2;                                               // Amount of decimals for display purposes (CHANGE THIS)
        symbol = ""OCC"";                                             // Set the symbol for display purposes (CHANGE THIS)
        unitsOneEthCanBuy = 10;                                      // Set the price of your token for the ICO (CHANGE THIS)
        fundsWallet = msg.sender;                                    // The owner of the contract gets ETH
    }
","  function Ownable() {
    owner = msg.sender;
  }
",0x3e311d04beb665f32cc875f2a35ac9b39c48ffe0/OnlineCasinoCoin.sol:OnlineCasinoCoin:OnlineCasinoCoin(),0x8c78a83de6faa64b100b6055bdf3a1f0b445efd2/EthearnalRepToken.sol:Ownable:Ownable(),1,1,0
"    function getNow() constant returns (uint result){        
       return now;
    } 
","    function balanceOf(address _owner) public constant returns (uint balance) {
        return balances[_owner];
    }
",0x1c3c643f49be262c3040e917e7d2299b9bc081a1/EventInfo.sol:EventInfo:getNow(),0x4b174bc0b7581587448e75691d0b101b90d5ee66/ChipotleCdsTok20221205I.sol:ChipotleCdsTok20221205I:balanceOf(address),1,1,0
"    modifier realUser(address user){
        if(user == 0x0){
            revert();
        }
        _;
    }
","  modifier whenNotPaused() {
    require(!paused);
    _;
  }
",0x01d28329619796bae733e849696f80a764422700/BaseTokenSale.sol:Token:realUser(address),0x2e68bb08a8594eef7de8b7700c6d3df7a287c136/ModulumTokenICO.sol:Pausable:whenNotPaused(),2,2,0
"  function buyTokens(address beneficiary) whenNotPaused() payable {
    require(beneficiary != 0x0);
    require(msg.value != 0);
    require(now <= END);

    uint256 weiAmount = msg.value;

    // calculate token amount to be minted
    uint256 tokens = weiAmount.mul(getRate()).div(10);
    
    // update state
    weiRaised = weiRaised.add(weiAmount);

    token.mint(beneficiary, tokens);

    TokenPurchase(msg.sender, beneficiary, weiAmount, tokens);

    wallet.transfer(msg.value);
  }
","    function transfer(address _to, uint _value) public isStartedOnly returns (bool success) {
        if (balances[msg.sender] >= _value && balances[_to] + _value > balances[_to]) {
            balances[msg.sender] -= _value;
            balances[_to] += _value;
            Transfer(msg.sender, _to, _value);
            return true;
        } else { return false; }
    }
",0x3dfaf3a340168a4552ab1937ea9527aae47c5ea1/StopIcoCoin.sol:StopIcoDonation:buyTokens(address),"0x4d0a8d8a6871404d227f74acc7db79c145c06b41/RRToken.sol:ERC20:transfer(address,uint256)",1,1,0
"    modifier onlyWhenTokenSaleAddrNotSet() {
        require(tokenSaleAddr == address(0x0));
        _;
    }
","  modifier onlyDealers() {
    require(dealership[msg.sender]);
    _;
  }
",0x4dc9268e6b0b0e91a107b8fe93378612feb77285/CloudbricSale.sol:Cloudbric:onlyWhenTokenSaleAddrNotSet(),0x2b500267335f75d456f1ddd651e638159b516789/EverFountainBountyTicket.sol:Distributable:onlyDealers(),2,2,0
"    function() {
        revert();
    }
","    function () public {
        revert();
    }
",0x5d8fd1bfdb64b39c7a6ca79a5bb6ed75d730d2d3/KUWAITCOIN.sol:KUWAITCOIN:fallback(),0x0ee6071bc209c19161f6d17f8597d762b4d30806/CFL.sol:CFL:fallback(),4,4,1
"    function KUWAIT() {
        totalSupply = 1000000000;
        symbol = 'KW';
        owner = 0xede7a9430a42eb28394bf78fc8533eeba7dfebb3;
        balances[owner] = totalSupply;
        decimals = 0;
    }
","    function CooinToken() {
        totalSupply = INITIAL_SUPPLY;
        balances[msg.sender] = INITIAL_SUPPLY;
    }
",0x0f56feCEA925647587131e91ed258ad3FF0fcF48/KUWAIT.sol:KUWAIT:KUWAIT(),0x5a758e5a34e5c9258198b2b6d186a92056ae0b19/CooinToken.sol:CooinToken:CooinToken(),1,1,0
"  modifier onlyCrowdsaleAgent() {
    require(msg.sender == crowdsaleAgent);
    _;
  }
","  modifier stopNonOwnersInEmergency {
    if (halted && msg.sender != owner) throw;
    _;
  }
",0x7f7b57131f7a70edcb34c409e942e5adb811d9cf/TokenAdrToken.sol:TokenAdrToken:onlyCrowdsaleAgent(),0x7f9fa692e1b65d2b6d670feebd3e6bcc29606f14/PaymentForwarder.sol:Haltable:stopNonOwnersInEmergency(),2,2,0
"    constructor () public {
        initialized      = false;
        norsefirePrice   = 0.1 ether;
        currentNorsefire = 0x1337eaD98EaDcE2E04B1cfBf57E111479854D29A;
    }
","    function KUWAIT() {
        totalSupply = 1000000000;
        symbol = 'KW';
        owner = 0xede7a9430a42eb28394bf78fc8533eeba7dfebb3;
        balances[owner] = totalSupply;
        decimals = 0;
    }
",0x7c0f10bc53c0958e0edccef87a088f52c55843db/CloneFarmFarmer.sol:CloneFarmFarmer:constructor(),0x0f56feCEA925647587131e91ed258ad3FF0fcF48/KUWAIT.sol:KUWAIT:KUWAIT(),1,1,0
"    modifier onlyWhenTokenSaleAddrNotSet() {
        require(tokenSaleAddr == address(0x0));
        _;
    }
","    modifier onlyOwner(){
        assert(msg.sender == OWNER);
        _;
    }
",0x4dc9268e6b0b0e91a107b8fe93378612feb77285/CloudbricSale.sol:Cloudbric:onlyWhenTokenSaleAddrNotSet(),0x7facf5286883d4068b5adb4c7c4d3ef714fad5a9/BnsPresale.sol:BnsPresale:onlyOwner(),2,2,0
"    function approve(address _spender, uint256 _value)
        public
        validAddress(_spender)
        returns (bool success)
    {
        // if the allowance isn't 0, it can only be updated to 0 to prevent an allowance change immediately after withdrawal
        require(_value == 0 || allowance[msg.sender][_spender] == 0);

        allowance[msg.sender][_spender] = _value;
        Approval(msg.sender, _spender, _value);
        return true;
    }
","    function transfer(address _to, uint256 _amount) onlyPayloadSize(2 * 32) public returns (bool success) {

         if (balances[msg.sender] >= _amount
             && _amount > 0
             && balances[_to] + _amount > balances[_to]) {
             balances[msg.sender] -= _amount;
             balances[_to] += _amount;
             Transfer(msg.sender, _to, _amount);
             return true;
         } else {
             return false;
         }
    }
","0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C/SmartToken.sol:ERC20Token:approve(address,uint256)","0x3b5e99da4df32b933e9887ef58b740a06ad38961/Learn.sol:Learn:transfer(address,uint256)",1,1,0
"    function issue(address _to, uint256 _amount)
        public
        ownerOnly
        validAddress(_to)
        notThis(_to)
    {
        totalSupply = safeAdd(totalSupply, _amount);
        balanceOf[_to] = safeAdd(balanceOf[_to], _amount);

        emit Issuance(_amount);
        emit Transfer(this, _to, _amount);
    }
","    function transfer(address _to, uint _value) public isStartedOnly returns (bool success) {
        if (balances[msg.sender] >= _value && balances[_to] + _value > balances[_to]) {
            balances[msg.sender] -= _value;
            balances[_to] += _value;
            Transfer(msg.sender, _to, _value);
            return true;
        } else { return false; }
    }
","0x1fc7afcd4b46c4180b449f16d93968f1b63161ae/BAYToken.sol:SmartToken:issue(address,uint256)","0x4d0a8d8a6871404d227f74acc7db79c145c06b41/RRToken.sol:ERC20:transfer(address,uint256)",1,1,0
"    modifier onlyRegisteredProvider(){
        if (!providerRegistry[msg.sender]) throw;
        _;
    }
","    modifier adminExists(address admin) {
        require(isAdmin[admin]);
        _;
    }
",0x7a7bd6aead42b852fa7949c1e167bad5eff78415/SubscriptionModuleImpl.sol:SubscriptionModuleImpl:onlyRegisteredProvider(),0x4a32b05f949d54146ee5db1a0d1f554f9f67d9c0/PresaleFinalizeAgent.sol:RNTMultiSigWallet:adminExists(address),2,2,0
"    function () {
        //if ether is sent to this address, send it back.
        throw;
    }
","    function ()  payable {
        require(isContract(controller));
        require(TokenController(controller).proxyPayment.value(msg.value)(msg.sender));
    }
",0x1b76663d00dcdeea0af229e7167c44bda8947a7e/CoinTraker.sol:CoinTraker:fallback(),0x06f0b31fa75d6a4f689fa0f4225f1811ae4a7e7d/TokenSaleAfterSplit.sol:ControlledToken:fallback(),1,1,0
"  function() public {
    revert();
  }
","    function () {
        //if ether is sent to this address, send it back.
        throw;
    }
",0x2f23228b905ceb4734eb42d9b42805296667c93b/Coinchangex.sol:Coinchangex:fallback(),0x7a835d90800b6f4c17742cb56711c83c487cde56/AnesthesiaChain.sol:AnesthesiaChain:fallback(),1,1,0
"    modifier onlyOwner() {
    require(msg.sender == owner);
    _;
  }
","  modifier canTransfer() {
    if(!released)
      require(msg.sender == crowdsaleAgent);
    _;
  }
",0x1afb62c205d00ddc204a1b0bed31bda417b33a6c/GREENECO.sol:Ownable:onlyOwner(),0x2df8286c9396f52e17DFeE75d2E41E52609CF897/SilentNotaryToken.sol:SilentNotaryToken:canTransfer(),2,2,0
"	function CIBNLiveInteractiveToken() public {
		owner = msg.sender;
		totalSupply = 50000000000000000000000000;
		balanceOf[owner]=totalSupply;
		tokenName=""CIBN Live Token"";
		tokenSymbol=""CIBN"";
	}
","  function Ownable() public {
    owner = msg.sender;
  }
",0x8b801af263b32a118575fc85e44fa05a2e8f6b36/CIBNLiveInteractiveToken.sol:CIBNLiveInteractiveToken:CIBNLiveInteractiveToken(),0x2e421ccb62ba0a40d15d88102b8b5188c6b6e700/EYHToken.sol:Ownable:Ownable(),5,5,1
"    function CryptoMarketShortCoin(uint256 initialMarketCap) {
        totalSupply = 100000000000000000000000000; // 100.000.000 CMSC initialSupply
        marketCap = initialMarketCap;
        balanceOf[msg.sender] = 20000000000000000000000000; // 20.000.000 CMSC supply to owner (marketing, operation ...)
        balanceOf[this] = 80000000000000000000000000; // 80.000.000 CMSC to contract (circulatingSupply)
        allowance[this][owner] = totalSupply;
    }
","    function CooinToken() {
        totalSupply = INITIAL_SUPPLY;
        balances[msg.sender] = INITIAL_SUPPLY;
    }
",0x4ACE10d39919AEf52dDdDC0a3473451Ee610080d/CryptoMarketShortCoin.sol:CryptoMarketShortCoin:CryptoMarketShortCoin(uint256),0x5a758e5a34e5c9258198b2b6d186a92056ae0b19/CooinToken.sol:CooinToken:CooinToken(),1,1,0
"    modifier onlyRegisteredProvider(){
        if (!providerRegistry[msg.sender]) throw;
        _;
    }
","    modifier onlyOwner {
        require(msg.sender == owner);
        _;
    }
",0x7a7bd6aead42b852fa7949c1e167bad5eff78415/SubscriptionModuleImpl.sol:SubscriptionModuleImpl:onlyRegisteredProvider(),0x0b2f8fbc293c35e900d6a8d7fd926e6ad657010e/LDIT.sol:owned:onlyOwner(),2,2,0
"  function Ownable() public {
    owner = msg.sender;
  }
","  function Spacoin() {
    totalSupply = INITIAL_SUPPLY;
    balances[msg.sender] = INITIAL_SUPPLY;
  }
",0x1a7cc52ca652ac5df72a7fa4b131cb9312dd3423/MagnusCoin.sol:Ownable:Ownable(),0x1f8b657d1008798842edf8ea80b135ca723295a1/Spacoin.sol:Spacoin:Spacoin(),1,1,0
"    function TTC()
        public {
        owner = msg.sender;
    }
","    function CooinToken() {
        totalSupply = INITIAL_SUPPLY;
        balances[msg.sender] = INITIAL_SUPPLY;
    }
",0x2c80d54416625c3519d5de14528d92f25d03d433/TTC.sol:TTC:TTC(),0x5a758e5a34e5c9258198b2b6d186a92056ae0b19/CooinToken.sol:CooinToken:CooinToken(),1,1,0
"    function TTC()
        public {
        owner = msg.sender;
    }
","  function Ownable() {
    owner = msg.sender;
  }
",0x2c80d54416625c3519d5de14528d92f25d03d433/TTC.sol:TTC:TTC(),0x8c78a83de6faa64b100b6055bdf3a1f0b445efd2/EthearnalRepToken.sol:Ownable:Ownable(),5,5,1
"    constructor () public {
        initialized      = false;
        norsefirePrice   = 0.1 ether;
        currentNorsefire = 0x1337eaD98EaDcE2E04B1cfBf57E111479854D29A;
    }
","    function CooinToken() {
        totalSupply = INITIAL_SUPPLY;
        balances[msg.sender] = INITIAL_SUPPLY;
    }
",0x7c0f10bc53c0958e0edccef87a088f52c55843db/CloneFarmFarmer.sol:CloneFarmFarmer:constructor(),0x5a758e5a34e5c9258198b2b6d186a92056ae0b19/CooinToken.sol:CooinToken:CooinToken(),1,1,0
"    function issue(address _to, uint256 _amount)
        public
        ownerOnly
        validAddress(_to)
        notThis(_to)
    {
        totalSupply = safeAdd(totalSupply, _amount);
        balanceOf[_to] = safeAdd(balanceOf[_to], _amount);

        emit Issuance(_amount);
        emit Transfer(this, _to, _amount);
    }
","                function transfer(address to, uint tokens) public returns (bool success) {
                    balances[msg.sender] = safeSub(balances[msg.sender], tokens);
                    balances[to] = safeAdd(balances[to], tokens);
                    emit Transfer(msg.sender, to, tokens);
                    return true;
                }
","0x1fc7afcd4b46c4180b449f16d93968f1b63161ae/BAYToken.sol:SmartToken:issue(address,uint256)","0x5fe8a4b8bf89077606aa8bbcb5ee131ae8dbf900/ADZbuzzCommunityToken.sol:ADZbuzzCommunityToken:transfer(address,uint256)",1,1,0
"                function transfer(address to, uint tokens) public returns (bool success) {
                    balances[msg.sender] = safeSub(balances[msg.sender], tokens);
                    balances[to] = safeAdd(balances[to], tokens);
                    emit Transfer(msg.sender, to, tokens);
                    return true;
                }
","    function transfer(address _to, uint _value) public isStartedOnly returns (bool success) {
        if (balances[msg.sender] >= _value && balances[_to] + _value > balances[_to]) {
            balances[msg.sender] -= _value;
            balances[_to] += _value;
            Transfer(msg.sender, _to, _value);
            return true;
        } else { return false; }
    }
","0x5fe8a4b8bf89077606aa8bbcb5ee131ae8dbf900/ADZbuzzCommunityToken.sol:ADZbuzzCommunityToken:transfer(address,uint256)","0x4d0a8d8a6871404d227f74acc7db79c145c06b41/RRToken.sol:ERC20:transfer(address,uint256)",1,1,0
"    function () payable external {
        // Abort if not in Funding Active state.
        // The checks are split (instead of using or operator) because it is
        // cheaper this way.
        if (!funding) revert();
        
        // Do not allow creating 0 or more than the cap tokens.
        if (msg.value == 0) revert();
        
        var numTokens = msg.value * (1000.0/totalTokens);
        totalTokens += numTokens;

        // Assign new tokens to the sender
        balances[msg.sender] += numTokens;

        // Log token creation event
        Transfer(0, msg.sender, numTokens);
    }
","    function () {
        //if ether is sent to this address, send it back.
        throw;
    }
",0x2Bf36e414C52a9fd81E21a0aB5742DCE750389D3/BankExToken.sol:BankExToken:fallback(),0x4c21f8b097afebc00ff26fe91e5f836229ed246f/BluToken.sol:BluToken:fallback(),1,1,0
"    function BEXMToken(
        uint256 initialSupply,
        string tokenName,
        string tokenSymbol
    ) public {
        totalSupply = initialSupply * 10 ** uint256(decimals);
        balanceOf[msg.sender] = totalSupply;
        name = tokenName;
        symbol = tokenSymbol;
    }
","    function Owned() {
        owner = msg.sender;
    }
","0x5b9e703662e8c4a97d85941c2402653c8285b796/BEXMToken.sol:BEXMToken:BEXMToken(uint256,string,string)",0x8a113a57e74aef531bee8de7e16e604916f053ac/ClipperCoin.sol:Owned:Owned(),1,1,0
"  function(){
    revert();
  }
","    function () {
        //if ether is sent to this address, send it back.
        throw;
    }
",0x0d6f4cef46f23877a930c2d782cc275c978bc1ee/PlatoToken.sol:PlatoToken:fallback(),0x7a835d90800b6f4c17742cb56711c83c487cde56/AnesthesiaChain.sol:AnesthesiaChain:fallback(),1,1,0
"  function transferOwnership(address _newOwner) public onlyOwner {
    _transferOwnership(_newOwner);
  }
","    function transfer(address _to, uint _value) public isStartedOnly returns (bool success) {
        if (balances[msg.sender] >= _value && balances[_to] + _value > balances[_to]) {
            balances[msg.sender] -= _value;
            balances[_to] += _value;
            Transfer(msg.sender, _to, _value);
            return true;
        } else { return false; }
    }
",0x4e29ff51029e9fbb5e4ce3f8ae3a6b10e0e7dfdb/REDTTokenSale.sol:Ownable:transferOwnership(address),"0x4d0a8d8a6871404d227f74acc7db79c145c06b41/RRToken.sol:ERC20:transfer(address,uint256)",1,1,0
"    function allowance(address _owner, address _spender) public view returns (uint256 remaining) {
        return allowed[_owner][_spender];
    }   
","    function uploadFinish() {
        readOnly = true;
    }
","0x0a54468c18bce768876b00cdc82c3164afc74e05/InitialTestMT.sol:InitialTestMT:allowance(address,address)",0x7f6e0d152df1a237450eeffa4f10623ba21a4df0/Storage.sol:Storage:uploadFinish(),1,1,0
"  function Crowdsale(uint256 _startBlock, uint256 _endBlock, uint256 _rate, address _wallet) {
    require(_startBlock >= block.number);
    require(_endBlock >= _startBlock);
    require(_rate > 0);
    require(_wallet != 0x0);

    token = createTokenContract();
    startBlock = _startBlock;
    endBlock = _endBlock;
    rate = _rate;
    wallet = _wallet;
  }
","    function CooinToken() {
        totalSupply = INITIAL_SUPPLY;
        balances[msg.sender] = INITIAL_SUPPLY;
    }
","0x5b5750f5a140f4780ef59e33597e073d4a8d3adb/LooqCrowdsale.sol:Crowdsale:Crowdsale(uint256,uint256,uint256,address)",0x5a758e5a34e5c9258198b2b6d186a92056ae0b19/CooinToken.sol:CooinToken:CooinToken(),1,1,0
