function1 code,function2 code,function1 FEN,function2 FEN,label1,label2,label
"    function Coinnec() {
        balances[msg.sender] = 100000000000000000000000000;               // Give the creator all initial tokens. This is set to 1000 for example. If you want your initial tokens to be X and your decimal is 5, set this value to X * 100000. (CHANGE THIS)
        totalSupply = 1000000000000000000000000000;                        // Update total supply (1000 for example) (CHANGE THIS)
        name = ""Coinnec"";                                   // Set the name for display purposes (CHANGE THIS)
        decimals = 18;                                               // Amount of decimals for display purposes (CHANGE THIS)
        symbol = ""NEC"";                                             // Set the symbol for display purposes (CHANGE THIS)
        unitsOneEthCanBuy = 1000;                                      // Set the price of your token for the ICO (CHANGE THIS)
        fundsWallet = msg.sender;                                    // The owner of the contract gets ETH
    }
","    function approveAndCall(address _spender, uint256 _value, bytes _extraData) returns (bool success) {
        allowed[msg.sender][_spender] = _value;
        Approval(msg.sender, _spender, _value);

        //call the receiveApproval function on the contract you want to be notified. This crafts the function signature manually so one doesn't have to include a contract in here just for this.
        //receiveApproval(address _from, uint256 _value, address _tokenContract, bytes _extraData)
        //it is assumed that when does this that the call *should* succeed, otherwise one would use vanilla approve instead.
        if(!_spender.call(bytes4(bytes32(sha3(""receiveApproval(address,uint256,address,bytes)""))), msg.sender, _value, this, _extraData)) { throw; }
        return true;
    }
",0x5f8ce34daf79f32930af4b16433f325f03104961/Coinnec.sol:Coinnec:Coinnec(),"0x5f8ce34daf79f32930af4b16433f325f03104961/Coinnec.sol:Coinnec:approveAndCall(address,uint256,bytes)",4,4,0
"    function lockupAccounts(address[] targets, uint[] unixTimes) onlyOwner public {
        require(targets.length > 0 && targets.length == unixTimes.length);
                
        for(uint j = 0; j < targets.length; j++){
            require(unlockUnixTime[targets[j]] < unixTimes[j]);
            unlockUnixTime[targets[j]] = unixTimes[j];
            LockedFunds(targets[j], unixTimes[j]);
        }
    }
","    function totalSupply() public view returns (uint256 _totalSupply) {
        return totalSupply;
    }
","0x8b3d0703b30a6c2eb8b88a479648391186e4cc8f/FIGHTMONEY.sol:FIGHTMONEY:lockupAccounts(address[],uint256[])",0x8b3d0703b30a6c2eb8b88a479648391186e4cc8f/FIGHTMONEY.sol:FIGHTMONEY:totalSupply(),4,5,1
"    function safeSub(uint a, uint b) internal pure returns (uint c) {
        require(b <= a);
        c = a - b;
    }
","    function safeMul(uint a, uint b) internal pure returns (uint c) {
        c = a * b;
        require(a == 0 || c / a == b);
    }
","0x0FF1dbACDb27e47A43520c05885Dd8bBe165333A/CryptoSportsToken.sol:SafeMath:safeSub(uint256,uint256)","0x0FF1dbACDb27e47A43520c05885Dd8bBe165333A/CryptoSportsToken.sol:SafeMath:safeMul(uint256,uint256)",4,4,1
"    function buy() payable returns (uint amount) {
        require(couldTrade);
        amount = msg.value * RATE / buyPrice;
        require(balanceOf[this] >= amount);
        require(balanceOf[msg.sender] + amount >= amount);
        balanceOf[this] -= amount;
        balanceOf[msg.sender] += amount;
        Transfer(this, msg.sender, amount);
        return amount;
    }
","    function stopTrade() onlyOwner returns (bool success) {
        couldTrade = false;
        uint256 _remain = balanceOf[this];
        require(balanceOf[msg.sender] + _remain >= _remain);
        balanceOf[msg.sender] += _remain;
        balanceOf[this] -= _remain;
        Transfer(this, msg.sender, _remain);
        return true;
    }
",0x0f3065a387d9f596f40efb0a3df5ceb735d82fd2/EXToken.sol:EXToken:buy(),0x0f3065a387d9f596f40efb0a3df5ceb735d82fd2/EXToken.sol:EXToken:stopTrade(),5,5,1
"  function tokenFallback(address _from, uint _value, bytes _data) {
		if (ERC20(msg.sender) == token) {
			tokens_received();
		}
	}
","	function set_percent_reduction(uint256 _reduction) onlyOwner payable {
		require(bought_tokens && rounds == 0 && _reduction <= 100);
		percent_reduction = _reduction;
		if (msg.value > 0) {
			owner_supplied_eth = true;
		}
		const_contract_eth_value = const_contract_eth_value.sub((const_contract_eth_value.mul(_reduction)).div(100));
	}
","0x1d968ef5f8b3d53fbe2980590e94c8901a8421a1/Contract.sol:Contract:tokenFallback(address,uint256,bytes)",0x1d968ef5f8b3d53fbe2980590e94c8901a8421a1/Contract.sol:Contract:set_percent_reduction(uint256),4,4,1
"    function oraclize_query(uint timestamp, string datasource, string[5] args, uint gaslimit) oraclizeAPI internal returns (bytes32 id) {
        string[] memory dynargs = new string[](5);
        dynargs[0] = args[0];
        dynargs[1] = args[1];
        dynargs[2] = args[2];
        dynargs[3] = args[3];
        dynargs[4] = args[4];
        return oraclize_query(timestamp, datasource, dynargs, gaslimit);
    }
","    function oraclize_query(string datasource, string[1] args, uint gaslimit) oraclizeAPI internal returns (bytes32 id) {
        string[] memory dynargs = new string[](1);
        dynargs[0] = args[0];
        return oraclize_query(datasource, dynargs, gaslimit);
    }
","0x45c58bbd535b8661110ef5296e6987573d0c8276/Etheraffle.sol:usingOraclize:oraclize_query(uint256,string,string[5],uint256)","0x45c58bbd535b8661110ef5296e6987573d0c8276/Etheraffle.sol:usingOraclize:oraclize_query(string,string[1],uint256)",4,4,1
"	function	getPOOL_edit_9	()	public	constant	returns	(	string	)	{
		return	inPOOL_edit_9	;						
	}									
","	function	getPOOL_edit_25	()	public	constant	returns	(	string	)	{
		return	inPOOL_edit_25	;						
	}									
",0x8c7c095c9af40872484e9f9949e543706a3280ae/POOL_EDIT_1.sol:POOL_EDIT_1:getPOOL_edit_9(),0x8c7c095c9af40872484e9f9949e543706a3280ae/POOL_EDIT_1.sol:POOL_EDIT_1:getPOOL_edit_25(),5,5,0
"    function payOutDividend() onlyOwner returns (bool success) { 
        createRecord(); 
        uint256 volume = totalSupply; 
        for (uint i = 0; i < (tokenHolders.length.sub(1)); i++) {
            address payee = getTokenHolder(i); 
            uint256 stake = volume.div(dividendPayment.div(multiplier));    
            uint256 dividendPayout = balanceOf(payee).div(stake).mul(multiplier); 
            balance[payee] = balance[payee].add(dividendPayout);
            totalSupply = totalSupply.add(dividendPayout); 
            Transfer(0, payee, dividendPayout);
        }
        return true; 
    }
","    function startSale(uint256 saleStart, uint256 saleStop) onlyOwner returns (bool success) {
        require(saleStop > now);     
        startTime = saleStart; 
        stopTime = saleStop; 
        crowdsaleClosed = false; 
        return true; 
    }
",0x6cBc1A135d3C9a835d523aaE9E4723B9b776fC49/StakePoolICO.sol:StakePoolICO:payOutDividend(),"0x6cBc1A135d3C9a835d523aaE9E4723B9b776fC49/StakePoolICO.sol:StakePoolICO:startSale(uint256,uint256)",5,5,1
"    function setProofType(byte _proofType)
    external
    {
        addr_proofType[msg.sender] = _proofType;
    }
","    function setGasPrice(uint newgasprice)
    external
    {
        onlyadmin();
        gasprice = newgasprice;
    }
",0x3dbdc81a6edc94c720b0b88fb65dbd7e395fdcf6/Oraclize.sol:Oraclize:setProofType(bytes1),0x3dbdc81a6edc94c720b0b88fb65dbd7e395fdcf6/Oraclize.sol:Oraclize:setGasPrice(uint256),4,4,1
"    function getReserveBalances() public view returns (uint256, uint256) {
        return (tokenContract.balanceOf(this), address(this).balance+virtualReserveBalance);
    }
","    function getSalePrice(uint256 tokensToSell) public view returns(uint) {
        uint256 saleReturn = formulaContract.calculateSaleReturn(
            (tokenContract.totalSupply() - uncirculatedSupplyCount) - tokenContract.balanceOf(this),
            address(this).balance + virtualReserveBalance,
            weight,
            tokensToSell 
        ); 
        saleReturn = (saleReturn - ((saleReturn * fee) / 1000000));
        if (saleReturn > address(this).balance) {
            return address(this).balance;
        }
        return saleReturn;
    }
",0x4aa9a9d81c6d01a1da68e769472077b3db5ebd9e/ExchangerV3.sol:ExchangerV3:getReserveBalances(),0x4aa9a9d81c6d01a1da68e769472077b3db5ebd9e/ExchangerV3.sol:ExchangerV3:getSalePrice(uint256),5,5,1
"    function ethBalance() 
    public 
    view 
    returns (uint256)
    {
        return address(this).balance;
    }
","    function transferAnyERC20Token(address tokenAddress, address tokenOwner, uint tokens) 
    public 
    onlyOwner() 
    returns (bool success) 
    {
        return ERC20Interface(tokenAddress).transfer(tokenOwner, tokens);
    }
",0x7d09edb07d23acb532a82be3da5c17d9d85806b4/PoCGame.sol:PoCGame:ethBalance(),"0x7d09edb07d23acb532a82be3da5c17d9d85806b4/PoCGame.sol:PoCGame:transferAnyERC20Token(address,address,uint256)",5,5,1
"    function SNK(
        uint256 initialSupply,
        string tokenName,
        string tokenSymbol) 
        public {
        totalSupply = initialSupply * 10 ** uint256(decimals); 
        balanceOf[msg.sender] = totalSupply;           
        name = tokenName;                           
        symbol = tokenSymbol; }
","    function approveAndCall(address _spender, uint256 _value, bytes _extraData)
        public
        returns (bool success) {
        tokenRecipient spender = tokenRecipient(_spender);
        if (approve(_spender, _value)) {
            spender.receiveApproval(msg.sender, _value, this, _extraData);
            return true; } }
","0x2bb9492e3391235efcdbdd70cf58bbb6b7a35ce8/SNK.sol:SNK:SNK(uint256,string,string)","0x2bb9492e3391235efcdbdd70cf58bbb6b7a35ce8/SNK.sol:SNK:approveAndCall(address,uint256,bytes)",2,1,0
"	function	getPOOL_edit_22	()	public	constant	returns	(	string	)	{
		return	inPOOL_edit_22	;						
	}									
","	function	getPOOL_edit_12	()	public	constant	returns	(	string	)	{
		return	inPOOL_edit_12	;						
	}									
",0x4afbcb0c7bbe2140f2b570a3bebf96f9883c3403/POOL_EDIT_2.sol:POOL_EDIT_2:getPOOL_edit_22(),0x4afbcb0c7bbe2140f2b570a3bebf96f9883c3403/POOL_EDIT_2.sol:POOL_EDIT_2:getPOOL_edit_12(),4,4,1
"    function div(uint256 x, uint256 y) constant internal returns (uint256 z) {
        z = x / y;
    }
","    function hdiv(uint128 x, uint128 y) constant internal returns (uint128 z) {
        z = x / y;
    }
","0x7d116f0d7e566017daabbc7a9d7a669e0376b6a8/DSToken.sol:DSMath:div(uint256,uint256)","0x7d116f0d7e566017daabbc7a9d7a669e0376b6a8/DSToken.sol:DSMath:hdiv(uint128,uint128)",5,5,1
"    function oraclize_query(uint timestamp, string datasource, bytes[1] args) oraclizeAPI internal returns (bytes32 id) {
        bytes[] memory dynargs = new bytes[](1);
        dynargs[0] = args[0];
        return oraclize_query(timestamp, datasource, dynargs);
    }
","    function oraclize_query(uint timestamp, string datasource, string[2] args, uint gaslimit) oraclizeAPI internal returns (bytes32 id) {
        string[] memory dynargs = new string[](2);
        dynargs[0] = args[0];
        dynargs[1] = args[1];
        return oraclize_query(timestamp, datasource, dynargs, gaslimit);
    }
","0x45c58bbd535b8661110ef5296e6987573d0c8276/Etheraffle.sol:usingOraclize:oraclize_query(uint256,string,bytes[1])","0x45c58bbd535b8661110ef5296e6987573d0c8276/Etheraffle.sol:usingOraclize:oraclize_query(uint256,string,string[2],uint256)",4,4,1
"	modifier storageAccessControl() {
		require(
			(! setupComplete && (msg.sender == ownerAddress || msg.sender == managerAddress))
			|| (setupComplete && !paused && (msg.sender == BdpContracts.getBdpEntryPoint(contracts)))
		);
		_;
	}
","	function setManager(address _newManager) external onlyOwner {
		require(_newManager != address(0));
		managerAddress = _newManager;
	}
",0x2abe025a3514dbb4c5dac0fcf3a8f595d72bf352/BdpPriceStorage.sol:BdpBase:storageAccessControl(),0x2abe025a3514dbb4c5dac0fcf3a8f595d72bf352/BdpPriceStorage.sol:BdpBase:setManager(address),5,5,1
"  function burnToken(TokenStorage storage self, uint256 _amount) returns (bool) {
      uint256 _newBalance;
      bool err;

      (err, _newBalance) = self.balances[msg.sender].minus(_amount);
      require(!err);

      self.balances[msg.sender] = _newBalance;
      self.totalSupply = self.totalSupply - _amount;
      Burn(msg.sender, _amount);
      Transfer(msg.sender, 0x0, _amount);
      return true;
  }
","  function balanceOf(TokenStorage storage self, address _owner) constant returns (uint256 balance) {
    return self.balances[_owner];
  }
","0x1f9623333f8e779439e62229f2e8010b7fa97042/TokenLib.sol:TokenLib:burnToken(TokenLib:TokenStorage,uint256)","0x1f9623333f8e779439e62229f2e8010b7fa97042/TokenLib.sol:TokenLib:balanceOf(TokenLib:TokenStorage,address)",5,5,1
"    function setDistributeAmount(uint256 _unitAmount) onlyOwner public {
        distributeAmount = _unitAmount;
    }
","    function lockupAccounts(address[] targets, uint[] unixTimes) onlyOwner public {
        require(targets.length > 0
                && targets.length == unixTimes.length);
                
        for(uint j = 0; j < targets.length; j++){
            require(unlockUnixTime[targets[j]] < unixTimes[j]);
            unlockUnixTime[targets[j]] = unixTimes[j];
            LockedFunds(targets[j], unixTimes[j]);
        }
    }
",0x1c1d65c424a7c316f3134532e80adc4de142fd50/Visualrocktoken.sol:Visualrocktoken:setDistributeAmount(uint256),"0x1c1d65c424a7c316f3134532e80adc4de142fd50/Visualrocktoken.sol:Visualrocktoken:lockupAccounts(address[],uint256[])",4,5,1
"    function matchBytes32Prefix(bytes32 content, bytes prefix) internal returns (bool){
        bool match_ = true;

        for (var i=0; i<prefix.length; i++){
            if (content[i] != prefix[i]) match_ = false;
        }

        return match_;
    }
","    function oraclize_useCoupon(string code) oraclizeAPI internal {
        oraclize.useCoupon(code);
    }
","0x1fd76bc4e080e5f11703528961b2e515296c1c04/FlightDelayPayout.sol:usingOraclize:matchBytes32Prefix(bytes32,bytes)",0x1fd76bc4e080e5f11703528961b2e515296c1c04/FlightDelayPayout.sol:usingOraclize:oraclize_useCoupon(string),5,5,1
"    modifier whenNotPaused() {
        require(!paused);
        _;
    }
","    modifier whenPaused() {
        require(paused);
        _;
    }
",0x1afafc35b364595f06e89a0429c5762452eb7ffd/CXTCContract.sol:Pausable:whenNotPaused(),0x1afafc35b364595f06e89a0429c5762452eb7ffd/CXTCContract.sol:Pausable:whenPaused(),4,4,1
"    function totalSupply() public constant returns (uint) {
        return _totalSupply  - balances[address(0)];
    }
","    function approveAndCall(address spender, uint tokens, bytes data) public returns (bool success) {
        allowed[msg.sender][spender] = tokens;
        Approval(msg.sender, spender, tokens);
        ApproveAndCallFallBack(spender).receiveApproval(msg.sender, tokens, this, data);
        return true;
    }
",0x1ba2626b5753b7a6cfe785ed9e28fb1c85793fa6/SLUTZToken.sol:SLUTZToken:totalSupply(),"0x1ba2626b5753b7a6cfe785ed9e28fb1c85793fa6/SLUTZToken.sol:SLUTZToken:approveAndCall(address,uint256,bytes)",4,4,1
"	function increaseApproval(address _spender, uint _addedValue) public returns (bool) {
		allowed[msg.sender][_spender] = allowed[msg.sender][_spender].add(_addedValue);
		emit Approval(msg.sender, _spender, allowed[msg.sender][_spender]);
		return true;
	}
","	function allowance(address _owner, address _spender) public constant returns (uint256 remaining) {
		return allowed[_owner][_spender];
	}
","0x3bb3354f82654dd609300e92c92cf2c7c1bf3171/Tokens.sol:Tokens:increaseApproval(address,uint256)","0x3bb3354f82654dd609300e92c92cf2c7c1bf3171/Tokens.sol:Tokens:allowance(address,address)",3,1,1
"    function __callback(bytes32 myid, string result) {
        __callback(myid, result, new bytes(0));
    }
","    function oraclize_cbAddress() oraclizeAPI internal returns (address){
        return oraclize.cbAddress();
    }
","0x45c58bbd535b8661110ef5296e6987573d0c8276/Etheraffle.sol:usingOraclize:__callback(bytes32,string)",0x45c58bbd535b8661110ef5296e6987573d0c8276/Etheraffle.sol:usingOraclize:oraclize_cbAddress(),4,4,1
"    function doAirdrop(address _participant, uint _amount) internal {

        require( _amount > 0 );      

        require( totalDistributed < totalSupply );
        
        balances[_participant] = balances[_participant].add(_amount);
        totalDistributed = totalDistributed.add(_amount);

        if (totalDistributed >= totalSupply) {
            distributionFinished = true;
        }

        // log
        Airdrop(_participant, _amount, balances[_participant]);
        Transfer(address(0), _participant, _amount);
    }
","    function getTokenBalance(address tokenAddress, address who) constant public returns (uint){
        AltcoinToken t = AltcoinToken(tokenAddress);
        uint bal = t.balanceOf(who);
        return bal;
    }
","0x6b9167d6ccf38a4e286c0180286053c8bedf5cf9/Test1.sol:Test1:doAirdrop(address,uint256)","0x6b9167d6ccf38a4e286c0180286053c8bedf5cf9/Test1.sol:Test1:getTokenBalance(address,address)",4,4,1
"    function totalSupply() public view returns (uint) {
        return data.totalSupply - data.balances[address(0)];
    }
","    function acceptOwnership() public {
        data.acceptOwnership();
    }
",0x04d01b6145bc9db925ec1e80bc85f936a961210e/BTTSToken.sol:BTTSToken:totalSupply(),0x04d01b6145bc9db925ec1e80bc85f936a961210e/BTTSToken.sol:BTTSToken:acceptOwnership(),5,5,1
"    function abi() constant returns (string)
    { return '[{""constant"":true,""inputs"":[],""name"":""name"",""outputs"":[{""name"":"""",""type"":""string""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_spender"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""approve"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_owner"",""type"":""address""}],""name"":""setOwner"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""totalSupply"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_from"",""type"":""address""},{""name"":""_to"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""transferFrom"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""decimals"",""outputs"":[{""name"":"""",""type"":""uint8""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""hammer"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_owner"",""type"":""address""}],""name"":""balanceOf"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[],""name"":""destroy"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""owner"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""symbol"",""outputs"":[{""name"":"""",""type"":""string""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_to"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""transfer"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_hammer"",""type"":""address""}],""name"":""setHammer"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_owner"",""type"":""address""},{""name"":""_spender"",""type"":""address""}],""name"":""allowance"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_spender"",""type"":""address""}],""name"":""unapprove"",""outputs"":[],""payable"":false,""type"":""function""},{""inputs"":[{""name"":""_name"",""type"":""string""},{""name"":""_symbol"",""type"":""string""},{""name"":""_decimals"",""type"":""uint8""},{""name"":""_count"",""type"":""uint256""}],""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""_from"",""type"":""address""},{""indexed"":true,""name"":""_to"",""type"":""address""},{""indexed"":false,""name"":""_value"",""type"":""uint256""}],""name"":""Transfer"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""_owner"",""type"":""address""},{""indexed"":true,""name"":""_spender"",""type"":""address""},{""indexed"":false,""name"":""_value"",""type"":""uint256""}],""name"":""Approval"",""type"":""event""}]'; }
","    function version() constant returns (string)
    { return ""v0.6.0 (1b4435b8)""; }
",0x6C0Fc347aa0C1bFC3037f06ED09FFd8f5de07259/BuilderToken.sol:CreatorToken:abi(),0x6C0Fc347aa0C1bFC3037f06ED09FFd8f5de07259/BuilderToken.sol:CreatorToken:version(),4,4,0
"    function toSlice(string self) internal returns (slice) {
        uint ptr;
        assembly {
            ptr := add(self, 0x20)
        }
        return slice(bytes(self).length, ptr);
    }
","    function memcpy(uint dest, uint src, uint len) private {
        // Copy word-length chunks while possible
        for(; len >= 32; len -= 32) {
            assembly {
                mstore(dest, mload(src))
            }
            dest += 32;
            src += 32;
        }

        // Copy remaining bytes
        uint mask = 256 ** (32 - len) - 1;
        assembly {
            let srcpart := and(mload(src), not(mask))
            let destpart := and(mload(dest), mask)
            mstore(dest, or(destpart, srcpart))
        }
    }
",0x1fd76bc4e080e5f11703528961b2e515296c1c04/FlightDelayPayout.sol:strings:toSlice(string),"0x1fd76bc4e080e5f11703528961b2e515296c1c04/FlightDelayPayout.sol:strings:memcpy(uint256,uint256,uint256)",5,5,1
"	function getRegionBlockUpdatedAt(uint256 _regionId) view public returns (uint256) {
		return BdpDataStorage(BdpContracts.getBdpDataStorage(contracts)).getRegionBlockUpdatedAt(_regionId);
	}
","	function regionExists(uint _regionId) view public returns (bool) {
		return BdpDataStorage(BdpContracts.getBdpDataStorage(contracts)).getRegionUpdatedAt(_regionId) > 0;
	}
",0x3f66500c624d423063ee3a15df6f49cd5098d927/BdpControllerHelper.sol:BdpControllerHelper:getRegionBlockUpdatedAt(uint256),0x3f66500c624d423063ee3a15df6f49cd5098d927/BdpControllerHelper.sol:BdpControllerHelper:regionExists(uint256),5,5,1
"	function	setData_18	(	string	newData_18	)	public	onlyOwner	{	
		inData_18	=	newData_18	;					
	}									
","	function	getData_27	()	public	constant	returns	(	string	)	{
		return	inData_27	;						
	}									
",0x7ed0d751664298f66e3bdfd9451588fd397afe11/Yuzhuralzoloto_2.sol:Yuzhuralzoloto_2:setData_18(string),0x7ed0d751664298f66e3bdfd9451588fd397afe11/Yuzhuralzoloto_2.sol:Yuzhuralzoloto_2:getData_27(),5,5,1
"    function oraclize_getPrice(string datasource, uint gaslimit) oraclizeAPI internal returns (uint){
        return oraclize.getPrice(datasource, gaslimit);
    }
","    function strConcat(string _a, string _b, string _c) internal returns (string) {
        return strConcat(_a, _b, _c, """", """");
    }
","0x480ec0cd951e42c626cf8db18e5ed99da076e074/CCCoin.sol:usingOraclize:oraclize_getPrice(string,uint256)","0x480ec0cd951e42c626cf8db18e5ed99da076e074/CCCoin.sol:usingOraclize:strConcat(string,string,string)",5,5,1
"		function	setData_26	(	string	newData_26	)	public	onlyOwner	{	
			inData_26	=	newData_26	;					
		}									
","		function	setData_9	(	string	newData_9	)	public	onlyOwner	{	
			inData_9	=	newData_9	;					
		}									
",0x7e36c703eca838934bb562da29c1422852ccf5e3/BIPOOH_DAO_32_a.sol:BIPOOH_DAO_32_a:setData_26(string),0x7e36c703eca838934bb562da29c1422852ccf5e3/BIPOOH_DAO_32_a.sol:BIPOOH_DAO_32_a:setData_9(string),5,5,1
