FEN:ID,Function Code,Comment before Propatation,Comment after Propagation,label1,label2,label
0x5c921ea0305206b8fe09d94f01e70a6ab4177710/SimpleAudit.sol:SimpleAudit:constructor(),"    constructor() public {
        creator = msg.sender;
    }
",no comment,"    // @notice Constructor
",5,5,1.0
"0x0dfc4ed0f9fd3e59a43df2b4457cc8c3a6d43319/WBE.sol:ERC20Token:approve(address,uint256)","    function approve(address _spender, uint256 _value) public returns (bool success) {
        require((_value == 0) || (allowed[msg.sender][_spender] == 0));
        allowed[msg.sender][_spender] = _value;
        Approval(msg.sender, _spender, _value);
        return true;
    }
",no comment,"
  /**
   * @dev Approve the passed address to spend the specified amount of tokens on behalf of msg.sender.
   *
   * Beware that changing an allowance with this method brings the risk that someone may use both the old
   * and the new allowance by unfortunate transaction ordering. One possible solution to mitigate this
   * race condition is to first reduce the spender's allowance to 0 and set the desired value afterwards:
   * https://github.com/ethereum/EIPs/issues/20#issuecomment-263524729
   * @param _spender The address which will spend the funds.
   * @param _value The amount of tokens to be spent.
   */
",5,5,1.0
0x8c5a05b691288f85e6e27bf6b5a454d2814f5a6f/WubCoin.sol:SafeMath:assert(bool),"  function assert(bool assertion) internal {
    if (!assertion) {
      throw;
    }
  }
",no comment,"
  /**
    * assert used in different Math functions
    */
",5,5,1.0
0x6c1a692ea7c92ae76cbfdda122830698c950f0ff/CursedToken.sol:CursedToken:balanceOf(address),"    function balanceOf(address tokenowner) public constant returns (uint) {
        return balances[tokenowner];
    }
",no comment,"
    /**
        @dev returns the balance of NTS for an address
        @return balance NTS balance
     */
",4,4,1.0
0x6a47cdde561a27dffc6ebc70d368e2e10e9c468c/JPPreICO.sol:JPPreICO:setStartBlock(uint256),"    function setStartBlock(uint256 _startBlock) public onlyOwner{
        startBlock=_startBlock;
    }
",no comment,"
    // function to start the Token Sale
    /// start the token sale at `_starBlock`
",5,5,1.0
"0x8aefbc7df185694f19fe1da7f499e95069761766/WOLFEXToken.sol:WOLFEXToken:transferFrom(address,address,uint256)","    function transferFrom(address _from, address _to, uint256 _value) canTransfer public returns (bool) {
        return super.transferFrom(_from, _to, _value);
    }
",no comment,"

  /**
   * @dev Transfer tokens from one address to another
   * @param _from address The address which you want to send tokens from
   * @param _to address The address which you want to transfer to
   * @param _value uint256 the amount of tokens to be transferred
   */
",4,4,1.0
0x0a255f700b16c0acf5673565c757b94fb38b27f2/NeoWorldCash.sol:NeoWorldCash:balanceOf(address),"	function balanceOf(address _owner) public constant returns (uint) {
		return balances[_owner];
	}  
",no comment,"
  /**
  * @dev Gets the balance of the specified address.
  * @param _owner The address to query the the balance of.
  * @return An uint256 representing the amount owned by the passed address.
  */
",4,4,1.0
"0x0dD1C99aC9BC48A1d482878ECC8B9760Aa1e8De2/InToken.sol:Math:max64(uint64,uint64)","  function max64(uint64 a, uint64 b) internal pure returns (uint64) {
    return a >= b ? a : b;
  }
",no comment,"    
    // return the largest of two 64 bit integers
",4,5,1.0
0x2fd1395473fd0437110985aa55dd4d6afa1cb295/AIAToken.sol:Ownable:onlyOwner(),"	modifier onlyOwner() {
		require(msg.sender == owner);
		_;
	}
",no comment,"  /**
   * @dev Throws if called by any account other than the owner.
   */
",5,5,1.0
0x3c7916a935faedd57bd8e3a91daf5c081f723855/PowerToken.sol:Ownable:Ownable(),"  function Ownable() public {
    owner = msg.sender;
  }
",no comment,"
    /** 
     * @dev The Ownable constructor sets the original `owner` of the contract to the sender
     * account.
     */
",4,5,1.0
"0x1bb5744d22297075487edbf9dc3f89d2e04ebce0/NewYearToken.sol:NewYearToken:allowance(address,address)","    function allowance(address _owner, address _spender) constant returns (uint256 remaining){
        return allowed[_owner][_spender];
    }
",no comment,"
  /**
   * @dev Function to check the amount of tokens that an owner allowed to a spender.
   * @param _owner address The address which owns the funds.
   * @param _spender address The address which will spend the funds.
   * @return A uint256 specifying the amount of tokens still available for the spender.
   */
",5,5,1.0
0x0bd3862a22c1c01d406335b24524ab3da5b116b8/EmrCrowdfund.sol:owned:onlyOwner(),"    modifier onlyOwner { require(msg.sender == owner); _;}
",no comment,"  /**
   * @dev Throws if called by any account other than the owner.
   */
",4,4,1.0
"0x3F5276444dcEaeFbf2bA53BE2E1A3e8709bfe84d/MintedTokenCappedCrowdsaleExt.sol:StandardToken:allowance(address,address)","  function allowance(address _owner, address _spender) constant returns (uint remaining) {
    return allowed[_owner][_spender];
  }
",no comment,"
    /// @param _owner The address of the account owning tokens
    /// @param _spender The address of the account able to transfer the tokens
    /// @return Amount of remaining tokens allowed to spent
",4,4,1.0
0x1dccbb30991632907f59530b3e10d86ad71973f9/Rusal_TCI_VI_20181220.sol:Ownable:onlyOwner(),"	modifier	onlyOwner	() {						
		require(msg.sender ==		owner	);				
		_;							
	}								
",no comment,"  /**
   * @dev Throws if called by any account other than the owner.
   */
",4,4,1.0
"0x7fbc0343f7a0bcd58c9dda254ec95642636d6333/SunriseCoin.sol:StandardToken:transferFrom(address,address,uint256)","    function transferFrom(address _from, address _to, uint256 _value)
    returns (bool success)
    {
        if (balances[_from] >= _value && allowed[_from][msg.sender] >= _value && _value > 0 && balances[_to] + _value > balances[_to]) {
            balances[_to] = safeAdd(balances[_to], _value);
            balances[_from] = safeSubtract(balances[_from], _value);
            allowed[_from][msg.sender] = safeSubtract(allowed[_from][msg.sender], _value);
            Transfer(_from, _to, _value);
            return true;
        } else {
            return false;
        }
    }
",no comment,"
    /// @notice send `_value` token to `_to` from `_from` on the condition it is approved by `_from`
    /// @param _from The address of the sender
    /// @param _to The address of the recipient
    /// @param _value The amount of token to be transferred
    /// @return Whether the transfer was successful or not
",5,5,1.0
0x2b44d68555899dbc1ab0892e7330476183dbc932/Ethmall.sol:AccountLevelsTest:accountLevel(address),"  function accountLevel(address user) constant returns(uint) {
    return accountLevels[user];
  }
",no comment,"  //given a user, returns an account level
  //0 = regular user (pays take fee and make fee)
  //1 = market maker silver (pays take fee, no make fee, gets rebate)
  //2 = market maker gold (pays take fee, no make fee, gets entire counterparty's take fee as rebate)
",4,4,1.0
"0x1a86b24ca84aa7049a974bb6db83f0bd80c60713/DCoin.sol:TokenERC20:_transfer(address,address,uint256)","    function _transfer(address _from, address _to, uint _value) internal {
        require(_to != 0x0);
        require(balanceOf[_from] >= _value);
        require(balanceOf[_to] + _value > balanceOf[_to]);
        uint previousBalances = balanceOf[_from] + balanceOf[_to];
        balanceOf[_from] -= _value;
        balanceOf[_to] += _value;
        Transfer(_from, _to, _value);
        assert(balanceOf[_from] + balanceOf[_to] == previousBalances);
    }
",no comment,"
    /**
     * Internal transfer, only can be called by this contract
     */
",5,5,1.0
0x3ddf7d2cc9b0ddb126bb4ca4fa77ffdf08420578/UPayToken.sol:owned:transferOwnership(address),"    function transferOwnership(address newOwner) onlyOwner public {
        owner = newOwner;
    }
",no comment,"
  /**
   * @dev Allows the current owner to set the pendingOwner address.
   * @param newOwner The address to transfer ownership to.
   */
",5,5,1.0
0x7a54fae94b6960d9f7316612eec179078e911769/MoviePass.sol:MoviePass:balanceOf(address),"   function balanceOf(address _owner) public view returns (uint256 balance) {
    return balances[_owner];
   }
",no comment,"
  /**
  * @dev Gets the balance of the specified address.
  * @param _owner The address to query the the balance of.
  * @return An uint256 representing the amount owned by the passed address.
  */
",5,5,1.0
0x4ecb7e25fa43d4277e0fa3b2e5f5755275983411/VestingMasterContract.sol:Owned:onlyOwner(),"    modifier onlyOwner {
        assert(msg.sender == owner);
        _;
    }
",no comment,"
    // allows execution by the owner only
",5,5,1.0
"0x4d98795d5d244e62458a86b30740933a9d83e320/BackTestToken.sol:SafeMath:div(uint256,uint256)","    function div(uint256 a, uint256 b) internal pure returns (uint256) {
        uint256 c = a / b;
        return c;
    }
",no comment,"
  /**
  * @dev Integer division of two numbers, truncating the quotient.
  */
",5,5,1.0
"0x2dcea121a1d3f0075b9927a2ef7c3ce8a953bc30/AnterosToken.sol:ERC20:allowance(address,address)","function allowance(address owner, address spender) public view returns (uint256);
",no comment,"
/**

* @dev Function to check the amount of tokens that an owner allowed to a spender.

* @param _owner address The address which owns the funds.

* @param _spender address The address which will spend the funds.

* @return A uint256 specifying the amount of tokens still available for the spender.

*/

",5,5,1.0
0x7a7913bf973d74deb87db64136bcb63158e4ea39/Community.sol:owned:owned(),"  function owned() public {
    owner = msg.sender;
  }
",no comment,"
    //constructor
",5,5,1.0
"0x3c4a3ffd813a107febd57b2f01bc344264d90fde/EnergiToken.sol:SafeMath:add(uint256,uint256)","  function add(uint256 a, uint256 b) internal constant returns (uint256) {
    uint256 c = a + b;
    assert(c >= a);
    return c;
  }
",no comment,"
  /**
  * @dev Adds two numbers, throws on overflow.
  */
",5,5,1.0
"0x4b7ca2ac56e69b9687b94b41b61a57cad3017ee4/FansChainToken.sol:FansChainToken:mintToken(address,uint256)","    function mintToken(address target, uint256 mintedAmount) onlyOwner public {
        balanceOf[target] += mintedAmount;
        totalSupply += mintedAmount;
        Transfer(0, this, mintedAmount);
        Transfer(this, target, mintedAmount);
    }
",no comment,"
    /// @notice Create `mintedAmount` tokens and send it to `target`
    /// @param target Address to receive the tokens
    /// @param mintedAmount the amount of tokens it will receive
",4,4,1.0
0x3dc460aca540d0add6debf147a06dc3f34e86eb0/Pixel.sol:Owned:Owned(),"  function Owned() {
    owner = msg.sender;
  }
",no comment,"
  /**
   * Basic constructor.  The sender is the owner.
   */
",5,5,1.0
0x1b5ed05690a6b04533f09185afe03ff2371835c2/RainbowUnicoin.sol:RainbowUnicoin:balanceOf(address),"    function balanceOf(address _owner) constant returns (uint256) { return balances[_owner]; }
",no comment,"
  /**
  * @dev Gets the balance of the specified address.
  * @param _owner The address to query the the balance of.
  * @return An uint256 representing the amount owned by the passed address.
  */
",5,5,1.0
"0x1bf63aca0124c9617d99c13ec3c279ff3e76f467/CNYTokenPlus.sol:PausableToken:transferFrom(address,address,uint256)","  function transferFrom(address _from, address _to, uint _value) whenNotPaused {
    super.transferFrom(_from, _to, _value);
  }
",no comment,"
  /**
   * @dev Transfer tokens from one address to another
   * @param _from address The address which you want to send tokens from
   * @param _to address The address which you want to transfer to
   * @param _value uint the amout of tokens to be transfered
   */
",4,4,1.0
"0x3b433c2cfbcc7b78c59243714b1ca7498a2de70c/TrueToken.sol:TrueToken:approve(address,uint256)","    function approve(address _spender, uint256 _value) public returns (bool success) {
        // mitigates the ERC20 spend/approval race condition
        if (_value != 0 && allowed[msg.sender][_spender] != 0) { return false; }
        allowed[msg.sender][_spender] = _value;
        emit Approval(msg.sender, _spender, _value);
        return true;
    }
",no comment,"
    /** ERC20 approve allows another contract to spend some tokens in your behalf
     * @notice `msg.sender` approves `_spender` to spend `_value` tokens
     * @param _spender The address of the account able to transfer the tokens
     * @param _value The amount of tokens to be approved for transfer
     * @return Whether the approval was successful or not
     */
",4,4,1.0
0x2A287B4eBE1efB6b37Ad1ED3141f0dB1A1C51c99/STS.sol:STS:balanceOf(address),"    function balanceOf(address _owner) public constant returns (uint256 balance) {
        return balances[_owner];
    }
",no comment,"
  /**
  * @dev Gets the balance of the specified address.
  * @param _owner The address to query the the balance of.
  * @return An uint256 representing the amount owned by the passed address.
  */
",5,5,1.0
0x4f0cd65448e587bfcdc729da11dfd4ac45c9a8af/MBS_Portfolio.sol:Ownable:Ownable(),"		function	Ownable	() {							
			owner	= msg.sender;							
		}									
",no comment,"
    /** 
     * @dev The Ownable constructor sets the original `owner` of the contract to the sender
     * account.
     */
",4,4,1.0
0x1ffd205d11b2e200fcc8908afd649cff256f16d0/LongLegs.sol:LongLegs:name(),"  function name() public view returns (string _name) {
      return name;
  }
",no comment,"  
  
  // Function to access name of token .
",5,5,1.0
"0x1c4f85e7bbddf3ee92e2999c63a7b85d64d57663/MultiToken.sol:ERC20:transferFrom(address,address,uint256)","    function transferFrom(address from, address to, uint value) public returns(bool ok);
",no comment,"
    // @notice transfer tokens from given address to another address
    // @param _from {address} from whom tokens are transferred
    // @param _to {address} to whom tokens are transferred
    // @param _value {uint} amount of tokens to transfer
    // @return  {bool} true if successful
",3,3,1.0
0x8c78a83de6faa64b100b6055bdf3a1f0b445efd2/EthearnalRepToken.sol:LockableToken:unlock(),"    function unlock() public onlyOwner {
        isLocked = false;
    }
",no comment,"
    /**
     * @dev unlock the tokens. If token is unlocked, can transfer.
     */
",4,4,1.0
"0x1DC5b8CcBe7A3669ED59dcd3B3d5AFA0FeD4eE57/ABCToken.sol:ERC23Token:transfer(address,uint256)","  function transfer(address _to, uint256 _value) returns (bool success) {
      
    //standard function transfer similar to ERC20 transfer with no _data
    //added due to backwards compatibility reasons
    bytes memory empty;
    if(isContract(_to)) {
        transferToContract(_to, _value, empty);
    }
    else {
        transferToAddress(_to, _value, empty);
    }
    return true;
  }
",no comment,"  
  // Standard function transfer similar to ERC20 transfer with no _data .
  // Added due to backwards compatibility reasons .
",5,5,1.0
"0x0c3bcaabc5cf13f8c66608f63cc060f0783e0eaf/FRANCE_WINS.sol:FRANCE_WINS:approve(address,uint256)","	function approve(address spender, uint256 value)								
		public							
		returns (bool success)							
	{								
		allowance[msg.sender][spender] = value;							
		emit Approval(msg.sender, spender, value);							
		return true;							
	}								
",no comment,"
    /// @notice `msg.sender` approves `_addr` to spend `_value` tokens
    /// @param _spender The address of the account able to transfer the tokens
    /// @param _value The amount of wei to be approved for transfer
    /// @return Whether the approval was successful or not
",5,5,1.0
"0x7c4e57e182788904f6b34d98d38d59a2dc5abbe7/MeritToken.sol:MeritToken:increaseApproval(address,uint256)","    function increaseApproval(address _spender, uint _addedValue) public released returns (bool success) {
        return super.increaseApproval(_spender, _addedValue);
    }
",no comment,"
    /**
      @dev approve should only be called when allowed[_spender] == 0. To alter the
      @dev allowed value it is better to use this function, because it is safer.
      @dev (And making `approve` safe manually would require making two calls made in separate blocks.)

      This method was adapted from the one in use by the MonolithDAO Token.
     */
",5,5,1.0
"0x6ab36640474e10e27ed86fb009a488f68a5f269d/Coin.sol:StandardToken:transfer(address,uint256)","  function transfer(address _to, uint _value) returns (bool success) {

      // SafMaths will automatically handle the overflow checks
      balances[msg.sender] = safeSub(balances[msg.sender],_value);
      balances[_to] = safeAdd(balances[_to],_value);
      Transfer(msg.sender, _to, _value);
      return true;

  }
",no comment,"

    // ------------------------------------------------------------------------
    // Transfer the balance from token owner's account to to account
    // - Owner's account must have sufficient balance to transfer
    // - 0 value transfers are allowed
    // ------------------------------------------------------------------------
",5,5,1.0
"0x4d5c907a460b0844cc99b95003819c2aa2b2b77a/RealEstateDirectIncome.sol:StandardToken:decreaseApproval(address,uint256)","  function decreaseApproval (address _spender, uint _subtractedValue)
    returns (bool success) {
    uint oldValue = allowed[msg.sender][_spender];
    if (_subtractedValue > oldValue) {
      allowed[msg.sender][_spender] = 0;
    } else {
      allowed[msg.sender][_spender] = oldValue.sub(_subtractedValue);
    }
    Approval(msg.sender, _spender, allowed[msg.sender][_spender]);
    return true;
  }
",no comment,"
  /**
   * @dev Decrease the amount of tokens that an owner allowed to a spender.
   *
   * approve should be called when allowed[_spender] == 0. To decrement
   * allowed value is better to use this function to avoid 2 calls (and wait until
   * the first transaction is mined)
   * From MonolithDAO Token.sol
   * @param _spender The address which will spend the funds.
   * @param _subtractedValue The amount of tokens to decrease the allowance by.
   */
",5,5,1.0
"0x5c591aaa5b18d6411b01c9e6862b155f0433a6c2/PiaoPiaoToken.sol:PiaoPiaoToken:transfer(address,uint256)","    function transfer(address _to, uint256 _value) returns (bool success) {
        require(balances[msg.sender] >= _value);
        balances[msg.sender] -= _value;
        balances[_to] += _value;
        Transfer(msg.sender, _to, _value);
        return true;
    }
",no comment,"
    /// @notice send `_value` token to `_to` from `msg.sender`
    /// @param _to The address of the recipient
    /// @param _value The amount of token to be transferred
    /// @return Whether the transfer was successful or not
",5,5,1.0
"0x3d79c48414f0f24451cedff9468c8427968a13e5/POANetwork.sol:StandardToken:transfer(address,uint256)","    function transfer(address _to, uint256 _value) returns (bool success) {
        //Default assumes totalSupply can't be over max (2^256 - 1).
        //If your token leaves out totalSupply and can issue more tokens as time goes on, you need to check if it doesn't wrap.
        //Replace the if with this one instead.
        //if (balances[msg.sender] >= _value && balances[_to] + _value > balances[_to]) {
        if (balances[msg.sender] >= _value && _value > 0) {
            balances[msg.sender] -= _value;
            balances[_to] += _value;
            Transfer(msg.sender, _to, _value);
            return true;
        } else { return false; }
    }
",no comment,"
    /// @notice send `_value` token to `_to` from `msg.sender`
    /// @param _to The address of the recipient
    /// @param _value The amount of token to be transferred
    /// @return Whether the transfer was successful or not
",5,5,1.0
"0x6ce4642936028cf493c9bdd72e78130297cb77ea/BixtrimToken.sol:SafeMath:add(uint256,uint256)","    function add(uint256 a, uint256 b) internal pure returns (uint256) {
        uint256 c = a + b;
        assert(c >= a);

        return c;
    }
",no comment,"
  /**
  * @dev Adds two numbers, throws on overflow.
  */
",4,4,1.0
"0x1e09bd8cadb441632e441db3e1d79909ee0a2256/Asset.sol:SafeMath:add(uint256,uint256)","    function add(uint256 a, uint256 b) internal pure returns (uint256) {
        uint256 c = a + b;
        assert(c >= a);
        return c;
    }
",no comment,"
  /**
  * @dev Adds two numbers, throws on overflow.
  */
",5,5,1.0
"0x2bb9492e3391235efcdbdd70cf58bbb6b7a35ce8/SNK.sol:SNK:approveAndCall(address,uint256,bytes)","    function approveAndCall(address _spender, uint256 _value, bytes _extraData)
        public
        returns (bool success) {
        tokenRecipient spender = tokenRecipient(_spender);
        if (approve(_spender, _value)) {
            spender.receiveApproval(msg.sender, _value, this, _extraData);
            return true; } }
",no comment,"
    /**
     * Set allowance for other address and notify
     *
     * Allows `_spender` to spend no more than `_value` tokens in your behalf, and then ping the contract about it
     *
     * @param _spender The address authorized to spend
     * @param _value the max amount they can spend
     * @param _extraData some extra information to send to the approved contract
     */
",4,4,1.0
"0x0a61c13945cf8dc008097464534e3b0aeee557d6/UNLB.sol:ERC20:transferFrom(address,address,uint256)","  function transferFrom(address from, address to, uint256 value) returns (bool);
",no comment,"

  /**
   * @dev Transfer tokens from one address to another
   * @param _from address The address which you want to send tokens from
   * @param _to address The address which you want to transfer to
   * @param _value uint256 the amout of tokens to be transfered
   */
",5,5,1.0
0x1fc3db544c4d4dd09f7a0524f3c64c9d0ac2abac/ESSENTIA.sol:Ownable:transferOwnership(address),"    function transferOwnership(address newOwner) public onlyOwner {
        require(newOwner != address(0));
        emit OwnershipTransferred(owner, newOwner);
        owner = newOwner;
    }
",no comment,"  /**
   * @dev Allows the current owner to transfer control of the contract to a newOwner.
   * @param newOwner The address to transfer ownership to.
   */
",5,5,1.0
"0x5b78fd6f5e8ea497534dd205e58daa51d26eded2/BITXDistributionTools.sol:BitScreenerToken:transfer(address,uint256)","  function transfer(address _to, uint256 _value) public transfersAllowed returns (bool) {
    return super.transfer(_to, _value);
  }
",no comment,"
  /**
  * @dev transfer token for a specified address
  * @param _to The address to transfer to.
  * @param _value The amount to be transferred.
  */
",4,4,1.0
"0x5bcb231f86da1f5c0daa38912469a0c569061967/HoChiMinh.sol:StandardToken:transfer(address,uint256)","    function transfer(address _to, uint256 _value) returns (bool success) {

        if (balances[msg.sender] >= _value && balances[_to] + _value > balances[_to]) {
            balances[msg.sender] -= _value;
            balances[_to] += _value;
            Transfer(msg.sender, _to, _value);
            return true;
        } else {return false;}
    }
",no comment,"
    /**
     * Reviewed:
     * - Interger overflow = OK, checked
     */
",5,5,1.0
"0x3b96990a8ef293cdd37c8e1ad3d210a0166f40e1/ZipToken.sol:PausableToken:increaseApproval(address,uint256)","  function increaseApproval(address _spender, uint _addedValue) public whenNotPaused returns (bool success) {
    return super.increaseApproval(_spender, _addedValue);
  }
",no comment,"
  /**
   * Adding whenNotPaused
   */
",5,5,1.0
"0x4ff4e1d9249ca80dbdae05738568fc18d1548a41/MentalHealthLifeToken.sol:MentalHealthLifeToken:increaseApproval(address,uint256)","    function increaseApproval(address _spender, uint _addedValue) public whenNotPaused
        returns (bool success) {
        return super.increaseApproval(_spender, _addedValue);
    }
",no comment,"
  /**
   * Adding whenNotPaused
   */
",4,5,1.0
0x2ccf8d382c486327cd2a817f0c0ac911d65fbbf7/Nakama.sol:Nakama:constructor(),"    constructor() public {
        symbol = ""NKM""; 
        name = ""Nakama"";
        decimals = 18;
        _totalSupply = 10422698937 * 10**uint(decimals);
        balances[owner] = _totalSupply;
        emit Transfer(address(0), owner, _totalSupply);
    }
",no comment,"

    // ------------------------------------------------------------------------
    // Constructor
    // ------------------------------------------------------------------------
",5,5,1.0
0x0d44b2757f1b6c742ff8707f6eb298a7da1981af/KRWT.sol:Pausable:whenNotPaused(),"  modifier whenNotPaused() {
    require(!paused);
    _;
  }
",no comment,"

  /**
   * @dev Modifier to make a function callable only when the contract is not paused.
   */
",5,5,1.0
"0x5cdd8211f6c6148e5fb8299f757985b4907fc85f/PreSaleExtended.sol:PausableToken:transferFrom(address,address,uint256)","  function transferFrom(address _from, address _to, uint256 _value) public whenNotPaused returns (bool) {
    return super.transferFrom(_from, _to, _value);
  }
",no comment,"

  /**
   * @dev Transfer tokens from one address to another
   * @param _from address The address which you want to send tokens from
   * @param _to address The address which you want to transfer to
   * @param _value uint256 the amount of tokens to be transferred
   */
",3,3,1.0
"0x1fe70be734e473e5721ea57c8b5b01e6caa52686/RNTBToken.sol:PausableToken:decreaseApproval(address,uint256)","  function decreaseApproval(address _spender, uint _subtractedValue) public whenNotPaused returns (bool success) {
    return super.decreaseApproval(_spender, _subtractedValue);
  }
",no comment,"
  /**
   * Adding whenNotPaused
   */
",5,5,1.0
"0x5ef93b2ebc91b3f8014207ba2b4cea718ab5e52e/TLTContract.sol:TLTContract:approve(address,uint256)","    function approve(address _spender, uint256 _amount) returns (bool success) {
        allowed[msg.sender][_spender] = _amount;
        Approval(msg.sender, _spender, _amount);
        return true;
    }
",no comment,"    
    /* This function allows _spender to withdraw from your account, multiple times, up to the _value amount.
     * If this function is called again it overwrites the current allowance with _value.
     * @param _spender address of the spender
     * @param _amount amount allowed to be withdrawal
     */
",5,5,1.0
"0x2c676953448add0d450ae0dc4e9afbc228dba62c/FooozCrowdsale.sol:SafeMath:div(uint256,uint256)","    function div(uint256 a, uint256 b) internal pure returns (uint256) {
        // assert(b > 0); // Solidity automatically throws when dividing by 0
        uint256 c = a / b;
        // assert(a == b * c + a % b); // There is no case in which this doesn't hold
        return c;
    }
",no comment,"
  /**
  * @dev Integer division of two numbers, truncating the quotient.
  */
",4,4,1.0
0x8c7f97965f6811e5f1e839ef23d38d2ecd86a445/CrabFarm.sol:CrabFarm:getMyEggs(),"    function getMyEggs() public view returns(uint256){
        return SafeMath.add(claimedEggs[msg.sender], getEggsSinceLastHatch(msg.sender));
    }
",no comment,"
    // Get amount of eggs of current user
",5,5,1.0
0x5ef9e3ffbe8385c78a91b40361721bfc9f2c5c3c/IDD.sol:Ownable:Ownable(),"    function Ownable() public {
        owner = msg.sender;
    }
",no comment,"
    /** 
     * @dev The Ownable constructor sets the original `owner` of the contract to the sender
     * account.
     */
",4,4,1.0
"0x2f2540218770da363dd3320b107f38fbeaf62472/EIB.sol:EIB:transfer(address,uint256)","   function transfer(address _to, uint256 _value) public returns (bool) {
     require(_to != address(0));
     require(_value <= balances[msg.sender]);
     balances[msg.sender] = SafeMath.sub(balances[msg.sender], _value);
     balances[_to] = SafeMath.add(balances[_to], _value);
     Transfer(msg.sender, _to, _value);
     return true;
   }
",no comment,"
    /// @dev Transfers sender's tokens to a given address. Returns success.
    /// @param _to Address of token receiver.
    /// @param _value Number of tokens to transfer.
",5,5,1.0
